,model,query age,transformer choice,Expected
0,MiniLM-L6,0,My age is 0,My age is 0
1,MiniLM-L6,2,My age is 2,My age is 2
2,MiniLM-L6,10,My age is 10,My age is 10
3,MiniLM-L6,30,My age is 30,My age is 30
4,MiniLM-L6,46,My age is 46,My age is 46
5,MiniLM-L6,70,My age is 73,My age is 71
6,MiniLM-L6,85,My age is 85,My age is 85
7,MiniLM-L6,99,My age is 99,My age is 99
8,MiniLM-L6,100,My age is 99,My age is 99
9,mpnet,0,My age is 0,My age is 0
10,mpnet,2,My age is 1,My age is 2
11,mpnet,10,My age is 0,My age is 10
12,mpnet,30,My age is 0,My age is 30
13,mpnet,46,My age is 0,My age is 46
14,mpnet,70,My age is 99,My age is 71
15,mpnet,85,My age is 90,My age is 85
16,mpnet,99,My age is 99,My age is 99
17,mpnet,100,My age is 99,My age is 99
18,BERT-base,0,My age is 0,My age is 0
19,BERT-base,2,My age is 2,My age is 2
20,BERT-base,10,My age is 10,My age is 10
21,BERT-base,30,My age is 30,My age is 30
22,BERT-base,46,My age is 46,My age is 46
23,BERT-base,70,My age is 71,My age is 71
24,BERT-base,85,My age is 85,My age is 85
25,BERT-base,99,My age is 99,My age is 99
26,BERT-base,100,My age is 99,My age is 99
27,RoBERTa,0,My age is 0,My age is 0
28,RoBERTa,2,My age is 2,My age is 2
29,RoBERTa,10,My age is 10,My age is 10
30,RoBERTa,30,My age is 30,My age is 30
31,RoBERTa,46,My age is 0,My age is 46
32,RoBERTa,70,My age is 99,My age is 71
33,RoBERTa,85,My age is 99,My age is 85
34,RoBERTa,99,My age is 99,My age is 99
35,RoBERTa,100,My age is 99,My age is 99
