age,true,pred,error,within_+-2,full_error,exact_match_acc
0,0,0,0,True,0,0.71
1,1,1,0,True,0,0.71
2,2,2,0,True,0,0.71
3,2,2,0,True,0,0.71
4,5,2,3,False,3,0.71
5,5,5,0,True,0,0.71
6,5,13,8,False,-8,0.71
7,8,8,0,True,0,0.71
8,8,8,0,True,0,0.71
9,8,10,2,True,-2,0.71
10,10,10,0,True,0,0.71
11,11,11,0,True,0,0.71
12,11,11,0,True,0,0.71
13,13,13,0,True,0,0.71
14,13,13,0,True,0,0.71
15,13,17,4,False,-4,0.71
16,17,17,0,True,0,0.71
17,17,17,0,True,0,0.71
18,18,18,0,True,0,0.71
19,19,19,0,True,0,0.71
20,20,20,0,True,0,0.71
21,22,18,4,False,4,0.71
22,22,22,0,True,0,0.71
23,23,23,0,True,0,0.71
24,23,2,21,False,21,0.71
25,26,26,0,True,0,0.71
26,26,26,0,True,0,0.71
27,27,27,0,True,0,0.71
28,27,27,0,True,0,0.71
29,29,29,0,True,0,0.71
30,30,30,0,True,0,0.71
31,30,33,3,False,-3,0.71
32,33,33,0,True,0,0.71
33,33,33,0,True,0,0.71
34,33,33,0,True,0,0.71
35,36,33,3,False,3,0.71
36,36,36,0,True,0,0.71
37,37,37,0,True,0,0.71
38,38,38,0,True,0,0.71
39,38,38,0,True,0,0.71
40,40,42,2,True,-2,0.71
41,42,42,0,True,0,0.71
42,42,42,0,True,0,0.71
43,43,43,0,True,0,0.71
44,44,44,0,True,0,0.71
45,45,45,0,True,0,0.71
46,46,46,0,True,0,0.71
47,47,47,0,True,0,0.71
48,48,48,0,True,0,0.71
49,49,49,0,True,0,0.71
50,49,52,3,False,-3,0.71
51,52,52,0,True,0,0.71
52,52,52,0,True,0,0.71
53,53,53,0,True,0,0.71
54,53,53,0,True,0,0.71
55,56,53,3,False,3,0.71
56,56,53,3,False,3,0.71
57,56,53,3,False,3,0.71
58,58,58,0,True,0,0.71
59,59,59,0,True,0,0.71
60,60,60,0,True,0,0.71
61,61,61,0,True,0,0.71
62,62,62,0,True,0,0.71
63,64,66,2,True,-2,0.71
64,64,64,0,True,0,0.71
65,64,66,2,True,-2,0.71
66,66,66,0,True,0,0.71
67,67,66,1,True,1,0.71
68,68,68,0,True,0,0.71
69,68,66,2,True,2,0.71
70,71,73,2,True,-2,0.71
71,71,71,0,True,0,0.71
72,71,73,2,True,-2,0.71
73,73,73,0,True,0,0.71
74,74,74,0,True,0,0.71
75,74,73,1,True,1,0.71
76,78,66,12,False,12,0.71
77,78,73,5,False,5,0.71
78,78,78,0,True,0,0.71
79,78,73,5,False,5,0.71
80,81,85,4,False,-4,0.71
81,81,81,0,True,0,0.71
82,82,82,0,True,0,0.71
83,83,83,0,True,0,0.71
84,84,84,0,True,0,0.71
85,85,85,0,True,0,0.71
86,85,84,1,True,1,0.71
87,87,87,0,True,0,0.71
88,88,88,0,True,0,0.71
89,88,91,3,False,-3,0.71
90,90,90,0,True,0,0.71
91,91,91,0,True,0,0.71
92,92,92,0,True,0,0.71
93,94,92,2,True,2,0.71
94,94,94,0,True,0,0.71
95,94,94,0,True,0,0.71
96,97,94,3,False,3,0.71
97,97,97,0,True,0,0.71
98,97,99,2,True,-2,0.71
99,99,99,0,True,0,0.71
