age,true,pred,error,within_+-2,full_error,exact_match_acc
0,0,0,0,True,0,0.04
1,1,1,0,True,0,0.04
2,2,1,1,True,1,0.04
3,2,1,1,True,1,0.04
4,5,1,4,False,4,0.04
5,5,1,4,False,4,0.04
6,5,1,4,False,4,0.04
7,8,1,7,False,7,0.04
8,8,1,7,False,7,0.04
9,8,0,8,False,8,0.04
10,10,0,10,False,10,0.04
11,11,1,10,False,10,0.04
12,11,1,10,False,10,0.04
13,13,1,12,False,12,0.04
14,13,1,12,False,12,0.04
15,13,1,12,False,12,0.04
16,17,1,16,False,16,0.04
17,17,1,16,False,16,0.04
18,18,1,17,False,17,0.04
19,19,1,18,False,18,0.04
20,20,0,20,False,20,0.04
21,22,1,21,False,21,0.04
22,22,0,22,False,22,0.04
23,23,0,23,False,23,0.04
24,23,0,23,False,23,0.04
25,26,0,26,False,26,0.04
26,26,0,26,False,26,0.04
27,27,0,27,False,27,0.04
28,27,0,27,False,27,0.04
29,29,0,29,False,29,0.04
30,30,0,30,False,30,0.04
31,30,1,29,False,29,0.04
32,33,0,33,False,33,0.04
33,33,0,33,False,33,0.04
34,33,0,33,False,33,0.04
35,36,1,35,False,35,0.04
36,36,0,36,False,36,0.04
37,37,0,37,False,37,0.04
38,38,0,38,False,38,0.04
39,38,0,38,False,38,0.04
40,40,0,40,False,40,0.04
41,42,0,42,False,42,0.04
42,42,0,42,False,42,0.04
43,43,0,43,False,43,0.04
44,44,0,44,False,44,0.04
45,45,0,45,False,45,0.04
46,46,0,46,False,46,0.04
47,47,0,47,False,47,0.04
48,48,0,48,False,48,0.04
49,49,0,49,False,49,0.04
50,49,99,50,False,-50,0.04
51,52,0,52,False,52,0.04
52,52,0,52,False,52,0.04
53,53,0,53,False,53,0.04
54,53,0,53,False,53,0.04
55,56,0,56,False,56,0.04
56,56,0,56,False,56,0.04
57,56,0,56,False,56,0.04
58,58,99,41,False,-41,0.04
59,59,0,59,False,59,0.04
60,60,99,39,False,-39,0.04
61,61,0,61,False,61,0.04
62,62,0,62,False,62,0.04
63,64,0,64,False,64,0.04
64,64,0,64,False,64,0.04
65,64,99,35,False,-35,0.04
66,66,0,66,False,66,0.04
67,67,99,32,False,-32,0.04
68,68,99,31,False,-31,0.04
69,68,0,68,False,68,0.04
70,71,99,28,False,-28,0.04
71,71,99,28,False,-28,0.04
72,71,0,71,False,71,0.04
73,73,99,26,False,-26,0.04
74,74,99,25,False,-25,0.04
75,74,99,25,False,-25,0.04
76,78,99,21,False,-21,0.04
77,78,97,19,False,-19,0.04
78,78,99,21,False,-21,0.04
79,78,99,21,False,-21,0.04
80,81,99,18,False,-18,0.04
81,81,99,18,False,-18,0.04
82,82,99,17,False,-17,0.04
83,83,99,16,False,-16,0.04
84,84,99,15,False,-15,0.04
85,85,90,5,False,-5,0.04
86,85,90,5,False,-5,0.04
87,87,90,3,False,-3,0.04
88,88,90,2,True,-2,0.04
89,88,99,11,False,-11,0.04
90,90,90,0,True,0,0.04
91,91,90,1,True,1,0.04
92,92,99,7,False,-7,0.04
93,94,99,5,False,-5,0.04
94,94,99,5,False,-5,0.04
95,94,99,5,False,-5,0.04
96,97,99,2,True,-2,0.04
97,97,99,2,True,-2,0.04
98,97,99,2,True,-2,0.04
99,99,99,0,True,0,0.04
