age,true,pred,error,within_+-2,full_error,exact_match_acc
0,0,0,0,True,0,0.12
1,1,1,0,True,0,0.12
2,2,2,0,True,0,0.12
3,2,2,0,True,0,0.12
4,5,2,3,False,3,0.12
5,5,5,0,True,0,0.12
6,5,5,0,True,0,0.12
7,8,1,7,False,7,0.12
8,8,8,0,True,0,0.12
9,8,10,2,True,-2,0.12
10,10,10,0,True,0,0.12
11,11,10,1,True,1,0.12
12,11,10,1,True,1,0.12
13,13,1,12,False,12,0.12
14,13,0,13,False,13,0.12
15,13,0,13,False,13,0.12
16,17,0,17,False,17,0.12
17,17,1,16,False,16,0.12
18,18,1,17,False,17,0.12
19,19,0,19,False,19,0.12
20,20,20,0,True,0,0.12
21,22,1,21,False,21,0.12
22,22,0,22,False,22,0.12
23,23,0,23,False,23,0.12
24,23,0,23,False,23,0.12
25,26,0,26,False,26,0.12
26,26,0,26,False,26,0.12
27,27,0,27,False,27,0.12
28,27,0,27,False,27,0.12
29,29,0,29,False,29,0.12
30,30,30,0,True,0,0.12
31,30,0,30,False,30,0.12
32,33,0,33,False,33,0.12
33,33,0,33,False,33,0.12
34,33,0,33,False,33,0.12
35,36,0,36,False,36,0.12
36,36,0,36,False,36,0.12
37,37,0,37,False,37,0.12
38,38,0,38,False,38,0.12
39,38,0,38,False,38,0.12
40,40,40,0,True,0,0.12
41,42,0,42,False,42,0.12
42,42,0,42,False,42,0.12
43,43,0,43,False,43,0.12
44,44,0,44,False,44,0.12
45,45,0,45,False,45,0.12
46,46,0,46,False,46,0.12
47,47,99,52,False,-52,0.12
48,48,99,51,False,-51,0.12
49,49,99,50,False,-50,0.12
50,49,99,50,False,-50,0.12
51,52,99,47,False,-47,0.12
52,52,99,47,False,-47,0.12
53,53,99,46,False,-46,0.12
54,53,99,46,False,-46,0.12
55,56,0,56,False,56,0.12
56,56,0,56,False,56,0.12
57,56,0,56,False,56,0.12
58,58,0,58,False,58,0.12
59,59,99,40,False,-40,0.12
60,60,99,39,False,-39,0.12
61,61,0,61,False,61,0.12
62,62,0,62,False,62,0.12
63,64,0,64,False,64,0.12
64,64,99,35,False,-35,0.12
65,64,99,35,False,-35,0.12
66,66,0,66,False,66,0.12
67,67,0,67,False,67,0.12
68,68,99,31,False,-31,0.12
69,68,99,31,False,-31,0.12
70,71,99,28,False,-28,0.12
71,71,99,28,False,-28,0.12
72,71,99,28,False,-28,0.12
73,73,99,26,False,-26,0.12
74,74,99,25,False,-25,0.12
75,74,99,25,False,-25,0.12
76,78,99,21,False,-21,0.12
77,78,99,21,False,-21,0.12
78,78,99,21,False,-21,0.12
79,78,99,21,False,-21,0.12
80,81,99,18,False,-18,0.12
81,81,99,18,False,-18,0.12
82,82,99,17,False,-17,0.12
83,83,99,16,False,-16,0.12
84,84,99,15,False,-15,0.12
85,85,99,14,False,-14,0.12
86,85,99,14,False,-14,0.12
87,87,99,12,False,-12,0.12
88,88,99,11,False,-11,0.12
89,88,99,11,False,-11,0.12
90,90,99,9,False,-9,0.12
91,91,99,8,False,-8,0.12
92,92,99,7,False,-7,0.12
93,94,99,5,False,-5,0.12
94,94,99,5,False,-5,0.12
95,94,99,5,False,-5,0.12
96,97,99,2,True,-2,0.12
97,97,99,2,True,-2,0.12
98,97,99,2,True,-2,0.12
99,99,99,0,True,0,0.12
