age,true,pred,error,within_+-2,full_error,exact_match_acc
0,0,52,52,False,-52,0.02
1,1,52,51,False,-51,0.02
2,2,52,50,False,-50,0.02
3,2,52,50,False,-50,0.02
4,5,52,47,False,-47,0.02
5,5,52,47,False,-47,0.02
6,5,52,47,False,-47,0.02
7,8,52,44,False,-44,0.02
8,8,52,44,False,-44,0.02
9,8,52,44,False,-44,0.02
10,10,52,42,False,-42,0.02
11,11,52,41,False,-41,0.02
12,11,52,41,False,-41,0.02
13,13,52,39,False,-39,0.02
14,13,52,39,False,-39,0.02
15,13,52,39,False,-39,0.02
16,17,52,35,False,-35,0.02
17,17,52,35,False,-35,0.02
18,18,52,34,False,-34,0.02
19,19,52,33,False,-33,0.02
20,20,52,32,False,-32,0.02
21,22,52,30,False,-30,0.02
22,22,52,30,False,-30,0.02
23,23,52,29,False,-29,0.02
24,23,52,29,False,-29,0.02
25,26,52,26,False,-26,0.02
26,26,52,26,False,-26,0.02
27,27,52,25,False,-25,0.02
28,27,52,25,False,-25,0.02
29,29,52,23,False,-23,0.02
30,30,52,22,False,-22,0.02
31,30,52,22,False,-22,0.02
32,33,52,19,False,-19,0.02
33,33,52,19,False,-19,0.02
34,33,52,19,False,-19,0.02
35,36,52,16,False,-16,0.02
36,36,52,16,False,-16,0.02
37,37,52,15,False,-15,0.02
38,38,52,14,False,-14,0.02
39,38,52,14,False,-14,0.02
40,40,52,12,False,-12,0.02
41,42,52,10,False,-10,0.02
42,42,52,10,False,-10,0.02
43,43,52,9,False,-9,0.02
44,44,52,8,False,-8,0.02
45,45,52,7,False,-7,0.02
46,46,52,6,False,-6,0.02
47,47,52,5,False,-5,0.02
48,48,52,4,False,-4,0.02
49,49,52,3,False,-3,0.02
50,49,52,3,False,-3,0.02
51,52,52,0,True,0,0.02
52,52,52,0,True,0,0.02
53,53,52,1,True,1,0.02
54,53,52,1,True,1,0.02
55,56,52,4,False,4,0.02
56,56,52,4,False,4,0.02
57,56,52,4,False,4,0.02
58,58,52,6,False,6,0.02
59,59,52,7,False,7,0.02
60,60,52,8,False,8,0.02
61,61,52,9,False,9,0.02
62,62,52,10,False,10,0.02
63,64,52,12,False,12,0.02
64,64,52,12,False,12,0.02
65,64,52,12,False,12,0.02
66,66,52,14,False,14,0.02
67,67,52,15,False,15,0.02
68,68,52,16,False,16,0.02
69,68,52,16,False,16,0.02
70,71,52,19,False,19,0.02
71,71,52,19,False,19,0.02
72,71,52,19,False,19,0.02
73,73,52,21,False,21,0.02
74,74,52,22,False,22,0.02
75,74,52,22,False,22,0.02
76,78,52,26,False,26,0.02
77,78,52,26,False,26,0.02
78,78,52,26,False,26,0.02
79,78,52,26,False,26,0.02
80,81,52,29,False,29,0.02
81,81,52,29,False,29,0.02
82,82,52,30,False,30,0.02
83,83,52,31,False,31,0.02
84,84,52,32,False,32,0.02
85,85,52,33,False,33,0.02
86,85,52,33,False,33,0.02
87,87,52,35,False,35,0.02
88,88,52,36,False,36,0.02
89,88,52,36,False,36,0.02
90,90,52,38,False,38,0.02
91,91,52,39,False,39,0.02
92,92,52,40,False,40,0.02
93,94,52,42,False,42,0.02
94,94,52,42,False,42,0.02
95,94,52,42,False,42,0.02
96,97,52,45,False,45,0.02
97,97,52,45,False,45,0.02
98,97,52,45,False,45,0.02
99,99,52,47,False,47,0.02
