age,true,pred,error,within_+-2,full_error,exact_match_acc
0,0,0,0,True,0,0.88
1,1,1,0,True,0,0.88
2,2,2,0,True,0,0.88
3,2,1,1,True,1,0.88
4,5,44,39,False,-39,0.88
5,5,5,0,True,0,0.88
6,5,59,54,False,-54,0.88
7,8,78,70,False,-70,0.88
8,8,8,0,True,0,0.88
9,8,10,2,True,-2,0.88
10,10,10,0,True,0,0.88
11,11,11,0,True,0,0.88
12,11,11,0,True,0,0.88
13,13,13,0,True,0,0.88
14,13,13,0,True,0,0.88
15,13,59,46,False,-46,0.88
16,17,17,0,True,0,0.88
17,17,17,0,True,0,0.88
18,18,18,0,True,0,0.88
19,19,19,0,True,0,0.88
20,20,20,0,True,0,0.88
21,22,22,0,True,0,0.88
22,22,22,0,True,0,0.88
23,23,23,0,True,0,0.88
24,23,23,0,True,0,0.88
25,26,26,0,True,0,0.88
26,26,26,0,True,0,0.88
27,27,27,0,True,0,0.88
28,27,27,0,True,0,0.88
29,29,29,0,True,0,0.88
30,30,30,0,True,0,0.88
31,30,30,0,True,0,0.88
32,33,33,0,True,0,0.88
33,33,33,0,True,0,0.88
34,33,33,0,True,0,0.88
35,36,36,0,True,0,0.88
36,36,36,0,True,0,0.88
37,37,37,0,True,0,0.88
38,38,38,0,True,0,0.88
39,38,38,0,True,0,0.88
40,40,40,0,True,0,0.88
41,42,40,2,True,2,0.88
42,42,42,0,True,0,0.88
43,43,43,0,True,0,0.88
44,44,44,0,True,0,0.88
45,45,45,0,True,0,0.88
46,46,46,0,True,0,0.88
47,47,47,0,True,0,0.88
48,48,48,0,True,0,0.88
49,49,49,0,True,0,0.88
50,49,49,0,True,0,0.88
51,52,52,0,True,0,0.88
52,52,52,0,True,0,0.88
53,53,53,0,True,0,0.88
54,53,53,0,True,0,0.88
55,56,56,0,True,0,0.88
56,56,56,0,True,0,0.88
57,56,58,2,True,-2,0.88
58,58,58,0,True,0,0.88
59,59,59,0,True,0,0.88
60,60,60,0,True,0,0.88
61,61,61,0,True,0,0.88
62,62,62,0,True,0,0.88
63,64,62,2,True,2,0.88
64,64,64,0,True,0,0.88
65,64,66,2,True,-2,0.88
66,66,66,0,True,0,0.88
67,67,67,0,True,0,0.88
68,68,68,0,True,0,0.88
69,68,68,0,True,0,0.88
70,71,71,0,True,0,0.88
71,71,71,0,True,0,0.88
72,71,71,0,True,0,0.88
73,73,73,0,True,0,0.88
74,74,74,0,True,0,0.88
75,74,74,0,True,0,0.88
76,78,74,4,False,4,0.88
77,78,78,0,True,0,0.88
78,78,78,0,True,0,0.88
79,78,78,0,True,0,0.88
80,81,81,0,True,0,0.88
81,81,81,0,True,0,0.88
82,82,82,0,True,0,0.88
83,83,83,0,True,0,0.88
84,84,84,0,True,0,0.88
85,85,85,0,True,0,0.88
86,85,87,2,True,-2,0.88
87,87,87,0,True,0,0.88
88,88,88,0,True,0,0.88
89,88,88,0,True,0,0.88
90,90,90,0,True,0,0.88
91,91,91,0,True,0,0.88
92,92,92,0,True,0,0.88
93,94,94,0,True,0,0.88
94,94,94,0,True,0,0.88
95,94,94,0,True,0,0.88
96,97,97,0,True,0,0.88
97,97,97,0,True,0,0.88
98,97,97,0,True,0,0.88
99,99,99,0,True,0,0.88
