age,true,pred,error,within_+-2,full_error
0,17,66,49,False,-49
1,17,18,1,True,-1
2,17,18,1,True,-1
3,17,53,36,False,-36
4,17,18,1,True,-1
5,17,53,36,False,-36
6,17,61,44,False,-44
7,17,71,54,False,-54
8,17,18,1,True,-1
9,17,69,52,False,-52
10,17,19,2,True,-2
11,17,18,1,True,-1
12,17,17,0,True,0
13,17,17,0,True,0
14,17,21,4,False,-4
15,17,17,0,True,0
16,17,17,0,True,0
17,17,17,0,True,0
18,18,18,0,True,0
19,19,19,0,True,0
20,20,20,0,True,0
21,21,21,0,True,0
22,22,22,0,True,0
23,23,23,0,True,0
24,24,24,0,True,0
25,25,25,0,True,0
26,26,26,0,True,0
27,27,27,0,True,0
28,28,28,0,True,0
29,29,29,0,True,0
30,30,30,0,True,0
31,31,31,0,True,0
32,32,33,1,True,-1
33,33,33,0,True,0
34,34,34,0,True,0
35,35,47,12,False,-12
36,36,36,0,True,0
37,37,37,0,True,0
38,38,38,0,True,0
39,39,39,0,True,0
40,40,42,2,True,-2
41,41,41,0,True,0
42,42,42,0,True,0
43,43,43,0,True,0
44,44,44,0,True,0
45,45,45,0,True,0
46,46,46,0,True,0
47,47,47,0,True,0
48,48,48,0,True,0
49,49,49,0,True,0
50,50,50,0,True,0
51,51,51,0,True,0
52,52,52,0,True,0
53,53,53,0,True,0
54,54,54,0,True,0
55,55,55,0,True,0
56,56,56,0,True,0
57,57,57,0,True,0
58,58,58,0,True,0
59,59,59,0,True,0
60,60,60,0,True,0
61,61,61,0,True,0
62,62,62,0,True,0
63,63,63,0,True,0
64,64,64,0,True,0
65,65,66,1,True,-1
66,66,66,0,True,0
67,67,66,1,True,1
68,68,68,0,True,0
69,69,69,0,True,0
70,70,70,0,True,0
71,71,71,0,True,0
72,72,72,0,True,0
73,73,73,0,True,0
74,74,74,0,True,0
75,75,75,0,True,0
76,76,66,10,False,10
77,77,77,0,True,0
78,78,78,0,True,0
79,79,79,0,True,0
80,80,80,0,True,0
81,81,81,0,True,0
82,82,82,0,True,0
83,83,83,0,True,0
84,84,84,0,True,0
85,85,85,0,True,0
86,86,86,0,True,0
87,87,87,0,True,0
88,88,88,0,True,0
89,89,89,0,True,0
90,89,93,4,False,-4
91,93,93,0,True,0
92,93,93,0,True,0
93,93,93,0,True,0
94,93,93,0,True,0
95,93,93,0,True,0
96,93,66,27,False,27
97,93,93,0,True,0
98,93,93,0,True,0
99,93,93,0,True,0
