age,true,pred,error,within_+-2,full_error
0,17.0,65.0,48.0,False,-48.0
1,17.0,65.0,48.0,False,-48.0
2,17.0,30.0,13.0,False,-13.0
3,17.0,30.0,13.0,False,-13.0
4,17.0,35.0,18.0,False,-18.0
5,17.0,49.0,32.0,False,-32.0
6,17.0,65.0,48.0,False,-48.0
7,17.0,65.0,48.0,False,-48.0
8,17.0,65.0,48.0,False,-48.0
9,17.0,65.0,48.0,False,-48.0
10,17.0,18.0,1.0,True,-1.0
11,17.0,18.0,1.0,True,-1.0
12,17.0,18.0,1.0,True,-1.0
13,17.0,21.0,4.0,False,-4.0
14,17.0,18.0,1.0,True,-1.0
15,17.0,65.0,48.0,False,-48.0
16,17.0,17.0,0.0,True,0.0
17,17.0,17.0,0.0,True,0.0
18,18.0,18.0,0.0,True,0.0
19,19.0,18.0,1.0,True,1.0
20,20.0,20.0,0.0,True,0.0
21,21.0,21.0,0.0,True,0.0
22,22.0,21.0,1.0,True,1.0
23,23.0,25.0,2.0,True,-2.0
24,24.0,25.0,1.0,True,-1.0
25,25.0,25.0,0.0,True,0.0
26,26.0,25.0,1.0,True,1.0
27,27.0,35.0,8.0,False,-8.0
28,28.0,28.0,0.0,True,0.0
29,29.0,29.0,0.0,True,0.0
30,30.0,30.0,0.0,True,0.0
31,31.0,30.0,1.0,True,1.0
32,32.0,65.0,33.0,False,-33.0
33,33.0,21.0,12.0,False,12.0
34,34.0,34.0,0.0,True,0.0
35,35.0,35.0,0.0,True,0.0
36,36.0,35.0,1.0,True,1.0
37,37.0,65.0,28.0,False,-28.0
38,38.0,35.0,3.0,False,3.0
39,39.0,65.0,26.0,False,-26.0
40,40.0,40.0,0.0,True,0.0
41,41.0,65.0,24.0,False,-24.0
42,42.0,42.0,0.0,True,0.0
43,43.0,43.0,0.0,True,0.0
44,44.0,44.0,0.0,True,0.0
45,45.0,49.0,4.0,False,-4.0
46,46.0,49.0,3.0,False,-3.0
47,47.0,49.0,2.0,True,-2.0
48,48.0,49.0,1.0,True,-1.0
49,49.0,49.0,0.0,True,0.0
50,50.0,49.0,1.0,True,1.0
51,51.0,49.0,2.0,True,2.0
52,52.0,21.0,31.0,False,31.0
53,53.0,65.0,12.0,False,-12.0
54,54.0,65.0,11.0,False,-11.0
55,55.0,65.0,10.0,False,-10.0
56,56.0,65.0,9.0,False,-9.0
57,57.0,65.0,8.0,False,-8.0
58,58.0,65.0,7.0,False,-7.0
59,59.0,65.0,6.0,False,-6.0
60,60.0,65.0,5.0,False,-5.0
61,61.0,65.0,4.0,False,-4.0
62,62.0,65.0,3.0,False,-3.0
63,63.0,65.0,2.0,True,-2.0
64,64.0,65.0,1.0,True,-1.0
65,65.0,65.0,0.0,True,0.0
66,66.0,65.0,1.0,True,1.0
67,67.0,65.0,2.0,True,2.0
68,68.0,65.0,3.0,False,3.0
69,69.0,65.0,4.0,False,4.0
70,70.0,65.0,5.0,False,5.0
71,71.0,65.0,6.0,False,6.0
72,72.0,65.0,7.0,False,7.0
73,73.0,65.0,8.0,False,8.0
74,74.0,74.0,0.0,True,0.0
75,75.0,65.0,10.0,False,10.0
76,76.0,65.0,11.0,False,11.0
77,77.0,65.0,12.0,False,12.0
78,78.0,65.0,13.0,False,13.0
79,79.0,65.0,14.0,False,14.0
80,80.0,65.0,15.0,False,15.0
81,81.0,65.0,16.0,False,16.0
82,82.0,65.0,17.0,False,17.0
83,83.0,65.0,18.0,False,18.0
84,84.0,84.0,0.0,True,0.0
85,85.0,85.0,0.0,True,0.0
86,86.0,65.0,21.0,False,21.0
87,87.0,65.0,22.0,False,22.0
88,88.0,65.0,23.0,False,23.0
89,89.0,65.0,24.0,False,24.0
90,89.0,65.0,24.0,False,24.0
91,93.0,89.0,4.0,False,4.0
92,93.0,49.0,44.0,False,44.0
93,93.0,93.0,0.0,True,0.0
94,93.0,74.0,19.0,False,19.0
95,93.0,65.0,28.0,False,28.0
96,93.0,65.0,28.0,False,28.0
97,93.0,65.0,28.0,False,28.0
98,93.0,65.0,28.0,False,28.0
99,93.0,65.0,28.0,False,28.0
