age,true,pred,error,within_+-2,full_error
0,17,46,29,False,-29
1,17,63,46,False,-46
2,17,24,7,False,-7
3,17,93,76,False,-76
4,17,39,22,False,-22
5,17,50,33,False,-33
6,17,62,45,False,-45
7,17,79,62,False,-62
8,17,84,67,False,-67
9,17,61,44,False,-44
10,17,70,53,False,-53
11,17,46,29,False,-29
12,17,48,31,False,-31
13,17,21,4,False,-4
14,17,58,41,False,-41
15,17,63,46,False,-46
16,17,64,47,False,-47
17,17,17,0,True,0
18,18,18,0,True,0
19,19,19,0,True,0
20,20,20,0,True,0
21,21,21,0,True,0
22,22,22,0,True,0
23,23,23,0,True,0
24,24,24,0,True,0
25,25,25,0,True,0
26,26,26,0,True,0
27,27,27,0,True,0
28,28,28,0,True,0
29,29,29,0,True,0
30,30,30,0,True,0
31,31,31,0,True,0
32,32,32,0,True,0
33,33,33,0,True,0
34,34,34,0,True,0
35,35,35,0,True,0
36,36,36,0,True,0
37,37,37,0,True,0
38,38,38,0,True,0
39,39,39,0,True,0
40,40,40,0,True,0
41,41,41,0,True,0
42,42,42,0,True,0
43,43,43,0,True,0
44,44,44,0,True,0
45,45,45,0,True,0
46,46,46,0,True,0
47,47,47,0,True,0
48,48,48,0,True,0
49,49,49,0,True,0
50,50,50,0,True,0
51,51,51,0,True,0
52,52,52,0,True,0
53,53,53,0,True,0
54,54,54,0,True,0
55,55,55,0,True,0
56,56,56,0,True,0
57,57,57,0,True,0
58,58,58,0,True,0
59,59,59,0,True,0
60,60,60,0,True,0
61,61,61,0,True,0
62,62,62,0,True,0
63,63,63,0,True,0
64,64,64,0,True,0
65,65,65,0,True,0
66,66,66,0,True,0
67,67,67,0,True,0
68,68,68,0,True,0
69,69,69,0,True,0
70,70,70,0,True,0
71,71,71,0,True,0
72,72,72,0,True,0
73,73,73,0,True,0
74,74,74,0,True,0
75,75,75,0,True,0
76,76,76,0,True,0
77,77,77,0,True,0
78,78,78,0,True,0
79,79,79,0,True,0
80,80,80,0,True,0
81,81,81,0,True,0
82,82,82,0,True,0
83,83,83,0,True,0
84,84,84,0,True,0
85,85,85,0,True,0
86,86,86,0,True,0
87,87,87,0,True,0
88,88,88,0,True,0
89,89,89,0,True,0
90,89,89,0,True,0
91,93,93,0,True,0
92,93,93,0,True,0
93,93,93,0,True,0
94,93,93,0,True,0
95,93,93,0,True,0
96,93,93,0,True,0
97,93,37,56,False,56
98,93,38,55,False,55
99,93,38,55,False,55
