age,true,pred,error,within_+-2,full_error
0,1.0,30.0,29.0,False,-29.0
1,1.0,30.0,29.0,False,-29.0
2,2.0,30.0,28.0,False,-28.0
3,3.0,30.0,27.0,False,-27.0
4,4.0,30.0,26.0,False,-26.0
5,5.0,30.0,25.0,False,-25.0
6,6.0,60.0,54.0,False,-54.0
7,7.0,30.0,23.0,False,-23.0
8,8.0,9.0,1.0,True,-1.0
9,9.0,9.0,0.0,True,0.0
10,10.0,10.0,0.0,True,0.0
11,11.0,9.0,2.0,True,2.0
12,12.0,12.0,0.0,True,0.0
13,13.0,12.0,1.0,True,1.0
14,14.0,9.0,5.0,False,5.0
15,15.0,15.0,0.0,True,0.0
16,16.0,15.0,1.0,True,1.0
17,17.0,20.0,3.0,False,-3.0
18,18.0,20.0,2.0,True,-2.0
19,19.0,20.0,1.0,True,-1.0
20,20.0,20.0,0.0,True,0.0
21,21.0,20.0,1.0,True,1.0
22,22.0,30.0,8.0,False,-8.0
23,23.0,9.0,14.0,False,14.0
24,24.0,30.0,6.0,False,-6.0
25,25.0,30.0,5.0,False,-5.0
26,26.0,30.0,4.0,False,-4.0
27,27.0,30.0,3.0,False,-3.0
28,28.0,30.0,2.0,True,-2.0
29,29.0,30.0,1.0,True,-1.0
30,30.0,30.0,0.0,True,0.0
31,31.0,30.0,1.0,True,1.0
32,32.0,30.0,2.0,True,2.0
33,33.0,30.0,3.0,False,3.0
34,34.0,30.0,4.0,False,4.0
35,35.0,30.0,5.0,False,5.0
36,36.0,30.0,6.0,False,6.0
37,37.0,30.0,7.0,False,7.0
38,38.0,30.0,8.0,False,8.0
39,39.0,30.0,9.0,False,9.0
40,40.0,60.0,20.0,False,-20.0
41,41.0,30.0,11.0,False,11.0
42,42.0,30.0,12.0,False,12.0
43,43.0,60.0,17.0,False,-17.0
44,44.0,30.0,14.0,False,14.0
45,45.0,30.0,15.0,False,15.0
46,46.0,30.0,16.0,False,16.0
47,47.0,30.0,17.0,False,17.0
48,48.0,30.0,18.0,False,18.0
49,49.0,30.0,19.0,False,19.0
50,50.0,30.0,20.0,False,20.0
51,51.0,30.0,21.0,False,21.0
52,52.0,30.0,22.0,False,22.0
53,53.0,60.0,7.0,False,-7.0
54,54.0,60.0,6.0,False,-6.0
55,55.0,60.0,5.0,False,-5.0
56,56.0,60.0,4.0,False,-4.0
57,57.0,60.0,3.0,False,-3.0
58,58.0,60.0,2.0,True,-2.0
59,60.0,60.0,0.0,True,0.0
60,60.0,60.0,0.0,True,0.0
61,61.0,60.0,1.0,True,1.0
62,62.0,60.0,2.0,True,2.0
63,63.0,60.0,3.0,False,3.0
64,64.0,60.0,4.0,False,4.0
65,65.0,60.0,5.0,False,5.0
66,66.0,60.0,6.0,False,6.0
67,67.0,30.0,37.0,False,37.0
68,68.0,60.0,8.0,False,8.0
69,70.0,30.0,40.0,False,40.0
70,70.0,30.0,40.0,False,40.0
71,71.0,30.0,41.0,False,41.0
72,72.0,30.0,42.0,False,42.0
73,72.0,60.0,12.0,False,12.0
74,74.0,30.0,44.0,False,44.0
75,75.0,30.0,45.0,False,45.0
76,76.0,30.0,46.0,False,46.0
77,77.0,30.0,47.0,False,47.0
78,77.0,30.0,47.0,False,47.0
79,79.0,30.0,49.0,False,49.0
80,80.0,30.0,50.0,False,50.0
81,80.0,30.0,50.0,False,50.0
82,82.0,30.0,52.0,False,52.0
83,84.0,30.0,54.0,False,54.0
84,84.0,30.0,54.0,False,54.0
85,85.0,90.0,5.0,False,-5.0
86,87.0,30.0,57.0,False,57.0
87,87.0,90.0,3.0,False,-3.0
88,88.0,30.0,58.0,False,58.0
89,90.0,30.0,60.0,False,60.0
90,90.0,90.0,0.0,True,0.0
91,90.0,90.0,0.0,True,0.0
92,90.0,90.0,0.0,True,0.0
93,94.0,90.0,4.0,False,4.0
94,94.0,90.0,4.0,False,4.0
95,95.0,90.0,5.0,False,5.0
96,96.0,90.0,6.0,False,6.0
97,96.0,9.0,87.0,False,87.0
98,99.0,9.0,90.0,False,90.0
99,99.0,9.0,90.0,False,90.0
