age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,0,0,True,0
2,3,3,0,True,0
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,5,3,2,True,2
7,8,9,1,True,-1
8,8,8,0,True,0
9,9,9,0,True,0
10,10,10,0,True,0
11,11,11,0,True,0
12,12,12,0,True,0
13,13,13,0,True,0
14,14,14,0,True,0
15,15,15,0,True,0
16,17,4,13,False,13
17,17,17,0,True,0
18,17,4,13,False,13
19,19,19,0,True,0
20,20,20,0,True,0
21,21,21,0,True,0
22,21,24,3,False,-3
23,24,24,0,True,0
24,24,24,0,True,0
25,25,25,0,True,0
26,26,26,0,True,0
27,27,27,0,True,0
28,28,33,5,False,-5
29,29,29,0,True,0
30,31,33,2,True,-2
31,31,31,0,True,0
32,31,33,2,True,-2
33,33,33,0,True,0
34,34,33,1,True,1
35,35,33,2,True,2
36,35,64,29,False,-29
37,37,37,0,True,0
38,37,64,27,False,-27
39,37,73,36,False,-36
40,43,44,1,True,-1
41,43,43,0,True,0
42,43,43,0,True,0
43,43,43,0,True,0
44,44,44,0,True,0
45,45,45,0,True,0
46,46,48,2,True,-2
47,47,47,0,True,0
48,48,48,0,True,0
49,48,69,21,False,-21
50,48,58,10,False,-10
51,53,53,0,True,0
52,53,53,0,True,0
53,53,53,0,True,0
54,54,54,0,True,0
55,54,53,1,True,1
56,57,68,11,False,-11
57,57,57,0,True,0
58,58,58,0,True,0
59,58,69,11,False,-11
60,58,68,10,False,-10
61,64,69,5,False,-5
62,64,68,4,False,-4
63,64,69,5,False,-5
64,64,64,0,True,0
65,64,75,11,False,-11
66,64,69,5,False,-5
67,68,69,1,True,-1
68,68,69,1,True,-1
69,69,69,0,True,0
70,70,70,0,True,0
71,71,69,2,True,2
72,71,69,2,True,2
73,73,73,0,True,0
74,75,73,2,True,2
75,75,75,0,True,0
76,75,69,6,False,6
77,77,77,0,True,0
78,77,69,8,False,8
79,79,79,0,True,0
80,80,80,0,True,0
81,81,81,0,True,0
82,82,84,2,True,-2
83,83,83,0,True,0
84,84,84,0,True,0
85,85,85,0,True,0
86,86,86,0,True,0
87,87,87,0,True,0
88,89,87,2,True,2
89,89,89,0,True,0
90,90,90,0,True,0
91,91,91,0,True,0
92,91,93,2,True,-2
93,93,93,0,True,0
94,94,94,0,True,0
95,94,93,1,True,1
96,97,94,3,False,3
97,97,97,0,True,0
98,98,98,0,True,0
99,98,98,0,True,0
