age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,0,0,True,0
2,3,0,3,False,3
3,3,0,3,False,3
4,4,0,4,False,4
5,5,3,2,True,2
6,5,0,5,False,5
7,8,0,8,False,8
8,8,0,8,False,8
9,9,9,0,True,0
10,10,0,10,False,10
11,11,0,11,False,11
12,12,0,12,False,12
13,13,12,1,True,1
14,14,14,0,True,0
15,15,15,0,True,0
16,17,17,0,True,0
17,17,17,0,True,0
18,17,19,2,True,-2
19,19,19,0,True,0
20,20,20,0,True,0
21,21,21,0,True,0
22,21,21,0,True,0
23,24,24,0,True,0
24,24,24,0,True,0
25,25,25,0,True,0
26,26,26,0,True,0
27,27,27,0,True,0
28,28,28,0,True,0
29,29,29,0,True,0
30,31,31,0,True,0
31,31,31,0,True,0
32,31,33,2,True,-2
33,33,33,0,True,0
34,34,34,0,True,0
35,35,35,0,True,0
36,35,35,0,True,0
37,37,37,0,True,0
38,37,37,0,True,0
39,37,37,0,True,0
40,43,35,8,False,8
41,43,37,6,False,6
42,43,45,2,True,-2
43,43,43,0,True,0
44,44,44,0,True,0
45,45,45,0,True,0
46,46,0,46,False,46
47,47,0,47,False,47
48,48,48,0,True,0
49,48,0,48,False,48
50,48,48,0,True,0
51,53,48,5,False,5
52,53,0,53,False,53
53,53,53,0,True,0
54,54,0,54,False,54
55,54,54,0,True,0
56,57,0,57,False,57
57,57,0,57,False,57
58,58,58,0,True,0
59,58,58,0,True,0
60,58,58,0,True,0
61,64,0,64,False,64
62,64,80,16,False,-16
63,64,79,15,False,-15
64,64,64,0,True,0
65,64,64,0,True,0
66,64,0,64,False,64
67,68,68,0,True,0
68,68,68,0,True,0
69,69,69,0,True,0
70,70,70,0,True,0
71,71,71,0,True,0
72,71,70,1,True,1
73,73,73,0,True,0
74,75,75,0,True,0
75,75,75,0,True,0
76,75,75,0,True,0
77,77,77,0,True,0
78,77,79,2,True,-2
79,79,79,0,True,0
80,80,80,0,True,0
81,81,0,81,False,81
82,82,80,2,True,2
83,83,80,3,False,3
84,84,84,0,True,0
85,85,80,5,False,5
86,86,80,6,False,6
87,87,80,7,False,7
88,89,80,9,False,9
89,89,90,1,True,-1
90,90,90,0,True,0
91,91,91,0,True,0
92,91,93,2,True,-2
93,93,93,0,True,0
94,94,93,1,True,1
95,94,90,4,False,4
96,97,90,7,False,7
97,97,0,97,False,97
98,98,0,98,False,98
99,98,0,98,False,98
