age,true,pred,error,within_+-2,full_error
0,0,93,93,False,-93
1,0,93,93,False,-93
2,3,93,90,False,-90
3,3,93,90,False,-90
4,4,4,0,True,0
5,5,53,48,False,-48
6,5,93,88,False,-88
7,8,93,85,False,-85
8,8,93,85,False,-85
9,9,93,84,False,-84
10,10,93,83,False,-83
11,11,53,42,False,-42
12,12,53,41,False,-41
13,13,53,40,False,-40
14,14,93,79,False,-79
15,15,93,78,False,-78
16,17,93,76,False,-76
17,17,93,76,False,-76
18,17,93,76,False,-76
19,19,93,74,False,-74
20,20,93,73,False,-73
21,21,93,72,False,-72
22,21,93,72,False,-72
23,24,93,69,False,-69
24,24,93,69,False,-69
25,25,93,68,False,-68
26,26,53,27,False,-27
27,27,53,26,False,-26
28,28,93,65,False,-65
29,29,93,64,False,-64
30,31,93,62,False,-62
31,31,93,62,False,-62
32,31,53,22,False,-22
33,33,53,20,False,-20
34,34,93,59,False,-59
35,35,53,18,False,-18
36,35,93,58,False,-58
37,37,93,56,False,-56
38,37,93,56,False,-56
39,37,93,56,False,-56
40,43,93,50,False,-50
41,43,93,50,False,-50
42,43,53,10,False,-10
43,43,53,10,False,-10
44,44,53,9,False,-9
45,45,53,8,False,-8
46,46,53,7,False,-7
47,47,53,6,False,-6
48,48,53,5,False,-5
49,48,53,5,False,-5
50,48,53,5,False,-5
51,53,53,0,True,0
52,53,53,0,True,0
53,53,53,0,True,0
54,54,53,1,True,1
55,54,53,1,True,1
56,57,53,4,False,4
57,57,53,4,False,4
58,58,93,35,False,-35
59,58,93,35,False,-35
60,58,93,35,False,-35
61,64,93,29,False,-29
62,64,93,29,False,-29
63,64,93,29,False,-29
64,64,93,29,False,-29
65,64,53,11,False,11
66,64,93,29,False,-29
67,68,93,25,False,-25
68,68,93,25,False,-25
69,69,93,24,False,-24
70,70,93,23,False,-23
71,71,93,22,False,-22
72,71,93,22,False,-22
73,73,93,20,False,-20
74,75,93,18,False,-18
75,75,93,18,False,-18
76,75,93,18,False,-18
77,77,93,16,False,-16
78,77,93,16,False,-16
79,79,93,14,False,-14
80,80,93,13,False,-13
81,81,93,12,False,-12
82,82,93,11,False,-11
83,83,93,10,False,-10
84,84,93,9,False,-9
85,85,93,8,False,-8
86,86,93,7,False,-7
87,87,93,6,False,-6
88,89,93,4,False,-4
89,89,93,4,False,-4
90,90,93,3,False,-3
91,91,93,2,True,-2
92,91,93,2,True,-2
93,93,93,0,True,0
94,94,93,1,True,1
95,94,93,1,True,1
96,97,93,4,False,4
97,97,93,4,False,4
98,98,93,5,False,5
99,98,93,5,False,5
