age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,0,0,True,0
2,3,4,1,True,-1
3,3,3,0,True,0
4,4,4,0,True,0
5,5,4,1,True,1
6,5,4,1,True,1
7,8,8,0,True,0
8,8,8,0,True,0
9,9,9,0,True,0
10,10,10,0,True,0
11,11,12,1,True,-1
12,12,12,0,True,0
13,13,12,1,True,1
14,14,14,0,True,0
15,15,15,0,True,0
16,17,15,2,True,2
17,17,17,0,True,0
18,17,19,2,True,-2
19,19,19,0,True,0
20,20,20,0,True,0
21,21,21,0,True,0
22,21,21,0,True,0
23,24,24,0,True,0
24,24,24,0,True,0
25,25,25,0,True,0
26,26,26,0,True,0
27,27,27,0,True,0
28,28,28,0,True,0
29,29,29,0,True,0
30,31,31,0,True,0
31,31,31,0,True,0
32,31,31,0,True,0
33,33,33,0,True,0
34,34,34,0,True,0
35,35,35,0,True,0
36,35,35,0,True,0
37,37,37,0,True,0
38,37,37,0,True,0
39,37,37,0,True,0
40,43,43,0,True,0
41,43,43,0,True,0
42,43,43,0,True,0
43,43,43,0,True,0
44,44,43,1,True,1
45,45,46,1,True,-1
46,46,46,0,True,0
47,47,53,6,False,-6
48,48,48,0,True,0
49,48,0,48,False,48
50,48,0,48,False,48
51,53,53,0,True,0
52,53,53,0,True,0
53,53,54,1,True,-1
54,54,54,0,True,0
55,54,54,0,True,0
56,57,54,3,False,3
57,57,57,0,True,0
58,58,58,0,True,0
59,58,58,0,True,0
60,58,64,6,False,-6
61,64,64,0,True,0
62,64,64,0,True,0
63,64,64,0,True,0
64,64,64,0,True,0
65,64,64,0,True,0
66,64,68,4,False,-4
67,68,68,0,True,0
68,68,68,0,True,0
69,69,69,0,True,0
70,70,70,0,True,0
71,71,70,1,True,1
72,71,70,1,True,1
73,73,73,0,True,0
74,75,69,6,False,6
75,75,75,0,True,0
76,75,77,2,True,-2
77,77,77,0,True,0
78,77,77,0,True,0
79,79,79,0,True,0
80,80,80,0,True,0
81,81,81,0,True,0
82,82,82,0,True,0
83,83,83,0,True,0
84,84,84,0,True,0
85,85,85,0,True,0
86,86,86,0,True,0
87,87,87,0,True,0
88,89,87,2,True,2
89,89,89,0,True,0
90,90,90,0,True,0
91,91,91,0,True,0
92,91,93,2,True,-2
93,93,93,0,True,0
94,94,94,0,True,0
95,94,94,0,True,0
96,97,97,0,True,0
97,97,97,0,True,0
98,98,98,0,True,0
99,98,98,0,True,0
