age,true,pred,error,within_+-2,full_error
0,0.0,0,0.0,True,0.0
1,0.0,3,3.0,False,-3.0
2,3.0,3,0.0,True,0.0
3,3.0,3,0.0,True,0.0
4,4.0,4,0.0,True,0.0
5,5.0,5,0.0,True,0.0
6,5.0,5,0.0,True,0.0
7,8.0,9,1.0,True,-1.0
8,8.0,8,0.0,True,0.0
9,9.0,9,0.0,True,0.0
10,10.0,10,0.0,True,0.0
11,11.0,11,0.0,True,0.0
12,12.0,12,0.0,True,0.0
13,13.0,13,0.0,True,0.0
14,14.0,14,0.0,True,0.0
15,15.0,15,0.0,True,0.0
16,17.0,15,2.0,True,2.0
17,17.0,17,0.0,True,0.0
18,17.0,19,2.0,True,-2.0
19,19.0,19,0.0,True,0.0
20,20.0,20,0.0,True,0.0
21,21.0,21,0.0,True,0.0
22,21.0,33,12.0,False,-12.0
23,24.0,24,0.0,True,0.0
24,24.0,24,0.0,True,0.0
25,25.0,25,0.0,True,0.0
26,26.0,26,0.0,True,0.0
27,27.0,27,0.0,True,0.0
28,28.0,28,0.0,True,0.0
29,29.0,29,0.0,True,0.0
30,31.0,31,0.0,True,0.0
31,31.0,31,0.0,True,0.0
32,31.0,31,0.0,True,0.0
33,33.0,33,0.0,True,0.0
34,34.0,34,0.0,True,0.0
35,35.0,35,0.0,True,0.0
36,35.0,31,4.0,False,4.0
37,37.0,37,0.0,True,0.0
38,37.0,37,0.0,True,0.0
39,37.0,31,6.0,False,6.0
40,43.0,31,12.0,False,12.0
41,43.0,31,12.0,False,12.0
42,43.0,33,10.0,False,10.0
43,43.0,43,0.0,True,0.0
44,44.0,44,0.0,True,0.0
45,45.0,45,0.0,True,0.0
46,46.0,46,0.0,True,0.0
47,47.0,47,0.0,True,0.0
48,48.0,48,0.0,True,0.0
49,48.0,31,17.0,False,17.0
50,48.0,31,17.0,False,17.0
51,53.0,31,22.0,False,22.0
52,53.0,33,20.0,False,20.0
53,53.0,53,0.0,True,0.0
54,54.0,54,0.0,True,0.0
55,54.0,57,3.0,False,-3.0
56,57.0,57,0.0,True,0.0
57,57.0,57,0.0,True,0.0
58,58.0,58,0.0,True,0.0
59,58.0,58,0.0,True,0.0
60,58.0,70,12.0,False,-12.0
61,64.0,81,17.0,False,-17.0
62,64.0,64,0.0,True,0.0
63,64.0,79,15.0,False,-15.0
64,64.0,64,0.0,True,0.0
65,64.0,64,0.0,True,0.0
66,64.0,79,15.0,False,-15.0
67,68.0,69,1.0,True,-1.0
68,68.0,68,0.0,True,0.0
69,69.0,69,0.0,True,0.0
70,70.0,70,0.0,True,0.0
71,71.0,71,0.0,True,0.0
72,71.0,73,2.0,True,-2.0
73,73.0,73,0.0,True,0.0
74,75.0,73,2.0,True,2.0
75,75.0,75,0.0,True,0.0
76,75.0,77,2.0,True,-2.0
77,77.0,77,0.0,True,0.0
78,77.0,79,2.0,True,-2.0
79,79.0,79,0.0,True,0.0
80,80.0,80,0.0,True,0.0
81,81.0,81,0.0,True,0.0
82,82.0,82,0.0,True,0.0
83,83.0,83,0.0,True,0.0
84,84.0,84,0.0,True,0.0
85,85.0,85,0.0,True,0.0
86,86.0,86,0.0,True,0.0
87,87.0,87,0.0,True,0.0
88,89.0,89,0.0,True,0.0
89,89.0,89,0.0,True,0.0
90,90.0,90,0.0,True,0.0
91,91.0,91,0.0,True,0.0
92,91.0,93,2.0,True,-2.0
93,93.0,93,0.0,True,0.0
94,94.0,94,0.0,True,0.0
95,94.0,97,3.0,False,-3.0
96,97.0,97,0.0,True,0.0
97,97.0,97,0.0,True,0.0
98,98.0,98,0.0,True,0.0
99,98.0,98,0.0,True,0.0
