age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,33,33,False,-33
2,3,9,6,False,-6
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,5,9,4,False,-4
7,8,9,1,True,-1
8,8,8,0,True,0
9,9,9,0,True,0
10,10,10,0,True,0
11,11,11,0,True,0
12,12,12,0,True,0
13,13,13,0,True,0
14,14,14,0,True,0
15,15,15,0,True,0
16,17,43,26,False,-26
17,17,17,0,True,0
18,17,26,9,False,-9
19,19,19,0,True,0
20,20,20,0,True,0
21,21,21,0,True,0
22,21,43,22,False,-22
23,24,43,19,False,-19
24,24,24,0,True,0
25,25,25,0,True,0
26,26,26,0,True,0
27,27,27,0,True,0
28,28,28,0,True,0
29,29,29,0,True,0
30,31,33,2,True,-2
31,31,31,0,True,0
32,31,33,2,True,-2
33,33,33,0,True,0
34,34,34,0,True,0
35,35,35,0,True,0
36,35,46,11,False,-11
37,37,37,0,True,0
38,37,46,9,False,-9
39,37,43,6,False,-6
40,43,43,0,True,0
41,43,43,0,True,0
42,43,43,0,True,0
43,43,43,0,True,0
44,44,44,0,True,0
45,45,45,0,True,0
46,46,46,0,True,0
47,47,47,0,True,0
48,48,48,0,True,0
49,48,46,2,True,2
50,48,46,2,True,2
51,53,46,7,False,7
52,53,46,7,False,7
53,53,53,0,True,0
54,54,54,0,True,0
55,54,46,8,False,8
56,57,53,4,False,4
57,57,57,0,True,0
58,58,58,0,True,0
59,58,43,15,False,15
60,58,43,15,False,15
61,64,43,21,False,21
62,64,46,18,False,18
63,64,68,4,False,-4
64,64,64,0,True,0
65,64,82,18,False,-18
66,64,68,4,False,-4
67,68,46,22,False,22
68,68,68,0,True,0
69,69,69,0,True,0
70,70,70,0,True,0
71,71,71,0,True,0
72,71,84,13,False,-13
73,73,73,0,True,0
74,75,82,7,False,-7
75,75,75,0,True,0
76,75,84,9,False,-9
77,77,77,0,True,0
78,77,82,5,False,-5
79,79,79,0,True,0
80,80,80,0,True,0
81,81,81,0,True,0
82,82,82,0,True,0
83,83,83,0,True,0
84,84,84,0,True,0
85,85,85,0,True,0
86,86,86,0,True,0
87,87,87,0,True,0
88,89,43,46,False,46
89,89,89,0,True,0
90,90,90,0,True,0
91,91,91,0,True,0
92,91,91,0,True,0
93,93,93,0,True,0
94,94,94,0,True,0
95,94,46,48,False,48
96,97,64,33,False,33
97,97,97,0,True,0
98,98,98,0,True,0
99,98,43,55,False,55
