age,true,pred,error,within_+-2,full_error
0,0.0,0,0.0,True,0.0
1,0.0,0,0.0,True,0.0
2,3.0,0,3.0,False,3.0
3,3.0,0,3.0,False,3.0
4,4.0,0,4.0,False,4.0
5,5.0,0,5.0,False,5.0
6,5.0,0,5.0,False,5.0
7,8.0,0,8.0,False,8.0
8,8.0,8,0.0,True,0.0
9,9.0,9,0.0,True,0.0
10,10.0,10,0.0,True,0.0
11,11.0,11,0.0,True,0.0
12,12.0,0,12.0,False,12.0
13,13.0,21,8.0,False,-8.0
14,14.0,14,0.0,True,0.0
15,15.0,15,0.0,True,0.0
16,17.0,15,2.0,True,2.0
17,17.0,17,0.0,True,0.0
18,17.0,19,2.0,True,-2.0
19,19.0,19,0.0,True,0.0
20,20.0,20,0.0,True,0.0
21,21.0,21,0.0,True,0.0
22,21.0,21,0.0,True,0.0
23,24.0,21,3.0,False,3.0
24,24.0,21,3.0,False,3.0
25,25.0,21,4.0,False,4.0
26,26.0,21,5.0,False,5.0
27,27.0,21,6.0,False,6.0
28,28.0,21,7.0,False,7.0
29,29.0,21,8.0,False,8.0
30,31.0,29,2.0,True,2.0
31,31.0,29,2.0,True,2.0
32,31.0,29,2.0,True,2.0
33,33.0,29,4.0,False,4.0
34,34.0,29,5.0,False,5.0
35,35.0,29,6.0,False,6.0
36,35.0,29,6.0,False,6.0
37,37.0,29,8.0,False,8.0
38,37.0,29,8.0,False,8.0
39,37.0,29,8.0,False,8.0
40,43.0,35,8.0,False,8.0
41,43.0,44,1.0,True,-1.0
42,43.0,44,1.0,True,-1.0
43,43.0,44,1.0,True,-1.0
44,44.0,44,0.0,True,0.0
45,45.0,44,1.0,True,1.0
46,46.0,44,2.0,True,2.0
47,47.0,44,3.0,False,3.0
48,48.0,44,4.0,False,4.0
49,48.0,44,4.0,False,4.0
50,48.0,70,22.0,False,-22.0
51,53.0,48,5.0,False,5.0
52,53.0,48,5.0,False,5.0
53,53.0,48,5.0,False,5.0
54,54.0,48,6.0,False,6.0
55,54.0,48,6.0,False,6.0
56,57.0,48,9.0,False,9.0
57,57.0,48,9.0,False,9.0
58,58.0,48,10.0,False,10.0
59,58.0,48,10.0,False,10.0
60,58.0,70,12.0,False,-12.0
61,64.0,71,7.0,False,-7.0
62,64.0,71,7.0,False,-7.0
63,64.0,73,9.0,False,-9.0
64,64.0,71,7.0,False,-7.0
65,64.0,70,6.0,False,-6.0
66,64.0,58,6.0,False,6.0
67,68.0,71,3.0,False,-3.0
68,68.0,71,3.0,False,-3.0
69,69.0,73,4.0,False,-4.0
70,70.0,80,10.0,False,-10.0
71,71.0,73,2.0,True,-2.0
72,71.0,73,2.0,True,-2.0
73,73.0,73,0.0,True,0.0
74,75.0,73,2.0,True,2.0
75,75.0,73,2.0,True,2.0
76,75.0,73,2.0,True,2.0
77,77.0,73,4.0,False,4.0
78,77.0,73,4.0,False,4.0
79,79.0,73,6.0,False,6.0
80,80.0,80,0.0,True,0.0
81,81.0,80,1.0,True,1.0
82,82.0,80,2.0,True,2.0
83,83.0,80,3.0,False,3.0
84,84.0,80,4.0,False,4.0
85,85.0,80,5.0,False,5.0
86,86.0,80,6.0,False,6.0
87,87.0,80,7.0,False,7.0
88,89.0,80,9.0,False,9.0
89,89.0,80,9.0,False,9.0
90,90.0,90,0.0,True,0.0
91,91.0,90,1.0,True,1.0
92,91.0,90,1.0,True,1.0
93,93.0,90,3.0,False,3.0
94,94.0,90,4.0,False,4.0
95,94.0,90,4.0,False,4.0
96,97.0,90,7.0,False,7.0
97,97.0,90,7.0,False,7.0
98,98.0,90,8.0,False,8.0
99,98.0,90,8.0,False,8.0
