age,true,pred,error,within_+-2,full_error
0,0.0,0,0.0,True,0.0
1,0.0,0,0.0,True,0.0
2,3.0,37,34.0,False,-34.0
3,3.0,3,0.0,True,0.0
4,4.0,4,0.0,True,0.0
5,5.0,5,0.0,True,0.0
6,5.0,8,3.0,False,-3.0
7,8.0,79,71.0,False,-71.0
8,8.0,8,0.0,True,0.0
9,9.0,9,0.0,True,0.0
10,10.0,10,0.0,True,0.0
11,11.0,11,0.0,True,0.0
12,12.0,12,0.0,True,0.0
13,13.0,13,0.0,True,0.0
14,14.0,14,0.0,True,0.0
15,15.0,15,0.0,True,0.0
16,17.0,17,0.0,True,0.0
17,17.0,17,0.0,True,0.0
18,17.0,19,2.0,True,-2.0
19,19.0,19,0.0,True,0.0
20,20.0,20,0.0,True,0.0
21,21.0,20,1.0,True,1.0
22,21.0,20,1.0,True,1.0
23,24.0,20,4.0,False,4.0
24,24.0,20,4.0,False,4.0
25,25.0,20,5.0,False,5.0
26,26.0,20,6.0,False,6.0
27,27.0,85,58.0,False,-58.0
28,28.0,85,57.0,False,-57.0
29,29.0,20,9.0,False,9.0
30,31.0,29,2.0,True,2.0
31,31.0,29,2.0,True,2.0
32,31.0,29,2.0,True,2.0
33,33.0,29,4.0,False,4.0
34,34.0,29,5.0,False,5.0
35,35.0,87,52.0,False,-52.0
36,35.0,87,52.0,False,-52.0
37,37.0,87,50.0,False,-50.0
38,37.0,87,50.0,False,-50.0
39,37.0,87,50.0,False,-50.0
40,43.0,44,1.0,True,-1.0
41,43.0,44,1.0,True,-1.0
42,43.0,44,1.0,True,-1.0
43,43.0,84,41.0,False,-41.0
44,44.0,84,40.0,False,-40.0
45,45.0,84,39.0,False,-39.0
46,46.0,84,38.0,False,-38.0
47,47.0,84,37.0,False,-37.0
48,48.0,84,36.0,False,-36.0
49,48.0,84,36.0,False,-36.0
50,48.0,90,42.0,False,-42.0
51,53.0,85,32.0,False,-32.0
52,53.0,85,32.0,False,-32.0
53,53.0,77,24.0,False,-24.0
54,54.0,85,31.0,False,-31.0
55,54.0,85,31.0,False,-31.0
56,57.0,77,20.0,False,-20.0
57,57.0,77,20.0,False,-20.0
58,58.0,85,27.0,False,-27.0
59,58.0,90,32.0,False,-32.0
60,58.0,70,12.0,False,-12.0
61,64.0,90,26.0,False,-26.0
62,64.0,98,34.0,False,-34.0
63,64.0,98,34.0,False,-34.0
64,64.0,90,26.0,False,-26.0
65,64.0,90,26.0,False,-26.0
66,64.0,90,26.0,False,-26.0
67,68.0,87,19.0,False,-19.0
68,68.0,90,22.0,False,-22.0
69,69.0,90,21.0,False,-21.0
70,70.0,77,7.0,False,-7.0
71,71.0,77,6.0,False,-6.0
72,71.0,77,6.0,False,-6.0
73,73.0,77,4.0,False,-4.0
74,75.0,77,2.0,True,-2.0
75,75.0,75,0.0,True,0.0
76,75.0,77,2.0,True,-2.0
77,77.0,77,0.0,True,0.0
78,77.0,77,0.0,True,0.0
79,79.0,77,2.0,True,2.0
80,80.0,80,0.0,True,0.0
81,81.0,80,1.0,True,1.0
82,82.0,80,2.0,True,2.0
83,83.0,84,1.0,True,-1.0
84,84.0,84,0.0,True,0.0
85,85.0,75,10.0,False,10.0
86,86.0,80,6.0,False,6.0
87,87.0,79,8.0,False,8.0
88,89.0,80,9.0,False,9.0
89,89.0,79,10.0,False,10.0
90,90.0,90,0.0,True,0.0
91,91.0,90,1.0,True,1.0
92,91.0,90,1.0,True,1.0
93,93.0,90,3.0,False,3.0
94,94.0,90,4.0,False,4.0
95,94.0,90,4.0,False,4.0
96,97.0,90,7.0,False,7.0
97,97.0,79,18.0,False,18.0
98,98.0,90,8.0,False,8.0
99,98.0,90,8.0,False,8.0
