age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,3,3,False,-3
2,3,3,0,True,0
3,3,3,0,True,0
4,4,4,0,True,0
5,5,4,1,True,1
6,5,4,1,True,1
7,8,8,0,True,0
8,8,8,0,True,0
9,9,9,0,True,0
10,10,10,0,True,0
11,11,11,0,True,0
12,12,12,0,True,0
13,13,12,1,True,1
14,14,14,0,True,0
15,15,15,0,True,0
16,17,8,9,False,9
17,17,10,7,False,7
18,17,12,5,False,5
19,19,10,9,False,9
20,20,20,0,True,0
21,21,11,10,False,10
22,21,11,10,False,10
23,24,3,21,False,21
24,24,4,20,False,20
25,25,10,15,False,15
26,26,12,14,False,14
27,27,3,24,False,24
28,28,3,25,False,25
29,29,10,19,False,19
30,31,10,21,False,21
31,31,3,28,False,28
32,31,10,21,False,21
33,33,3,30,False,30
34,34,3,31,False,31
35,35,3,32,False,32
36,35,3,32,False,32
37,37,3,34,False,34
38,37,10,27,False,27
39,37,94,57,False,-57
40,43,10,33,False,33
41,43,11,32,False,32
42,43,4,39,False,39
43,43,10,33,False,33
44,44,4,40,False,40
45,45,10,35,False,35
46,46,4,42,False,42
47,47,10,37,False,37
48,48,48,0,True,0
49,48,10,38,False,38
50,48,48,0,True,0
51,53,10,43,False,43
52,53,98,45,False,-45
53,53,98,45,False,-45
54,54,94,40,False,-40
55,54,94,40,False,-40
56,57,94,37,False,-37
57,57,98,41,False,-41
58,58,98,40,False,-40
59,58,98,40,False,-40
60,58,94,36,False,-36
61,64,94,30,False,-30
62,64,98,34,False,-34
63,64,94,30,False,-30
64,64,3,61,False,61
65,64,94,30,False,-30
66,64,3,61,False,61
67,68,98,30,False,-30
68,68,98,30,False,-30
69,69,98,29,False,-29
70,70,90,20,False,-20
71,71,98,27,False,-27
72,71,98,27,False,-27
73,73,94,21,False,-21
74,75,77,2,True,-2
75,75,94,19,False,-19
76,75,97,22,False,-22
77,77,98,21,False,-21
78,77,79,2,True,-2
79,79,98,19,False,-19
80,80,98,18,False,-18
81,81,81,0,True,0
82,82,81,1,True,1
83,83,81,2,True,2
84,84,98,14,False,-14
85,85,90,5,False,-5
86,86,87,1,True,-1
87,87,87,0,True,0
88,89,98,9,False,-9
89,89,98,9,False,-9
90,90,90,0,True,0
91,91,98,7,False,-7
92,91,98,7,False,-7
93,93,98,5,False,-5
94,94,98,4,False,-4
95,94,98,4,False,-4
96,97,98,1,True,-1
97,97,98,1,True,-1
98,98,98,0,True,0
99,98,98,0,True,0
