age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,3,3,False,-3
2,3,3,0,True,0
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,5,5,0,True,0
7,8,8,0,True,0
8,8,8,0,True,0
9,9,9,0,True,0
10,10,10,0,True,0
11,11,11,0,True,0
12,12,12,0,True,0
13,13,11,2,True,2
14,14,11,3,False,3
15,15,11,4,False,4
16,17,9,8,False,8
17,17,11,6,False,6
18,17,11,6,False,6
19,19,11,8,False,8
20,20,20,0,True,0
21,21,11,10,False,10
22,21,11,10,False,10
23,24,11,13,False,13
24,24,24,0,True,0
25,25,20,5,False,5
26,26,24,2,True,2
27,27,11,16,False,16
28,28,24,4,False,4
29,29,31,2,True,-2
30,31,20,11,False,11
31,31,31,0,True,0
32,31,3,28,False,28
33,33,3,30,False,30
34,34,34,0,True,0
35,35,34,1,True,1
36,35,69,34,False,-34
37,37,11,26,False,26
38,37,69,32,False,-32
39,37,69,32,False,-32
40,43,20,23,False,23
41,43,69,26,False,-26
42,43,0,43,False,43
43,43,69,26,False,-26
44,44,69,25,False,-25
45,45,69,24,False,-24
46,46,69,23,False,-23
47,47,69,22,False,-22
48,48,69,21,False,-21
49,48,69,21,False,-21
50,48,69,21,False,-21
51,53,69,16,False,-16
52,53,69,16,False,-16
53,53,69,16,False,-16
54,54,69,15,False,-15
55,54,69,15,False,-15
56,57,69,12,False,-12
57,57,69,12,False,-12
58,58,69,11,False,-11
59,58,69,11,False,-11
60,58,69,11,False,-11
61,64,69,5,False,-5
62,64,69,5,False,-5
63,64,69,5,False,-5
64,64,69,5,False,-5
65,64,69,5,False,-5
66,64,69,5,False,-5
67,68,69,1,True,-1
68,68,69,1,True,-1
69,69,69,0,True,0
70,70,69,1,True,1
71,71,69,2,True,2
72,71,69,2,True,2
73,73,69,4,False,4
74,75,69,6,False,6
75,75,69,6,False,6
76,75,69,6,False,6
77,77,69,8,False,8
78,77,69,8,False,8
79,79,89,10,False,-10
80,80,89,9,False,-9
81,81,89,8,False,-8
82,82,89,7,False,-7
83,83,89,6,False,-6
84,84,89,5,False,-5
85,85,86,1,True,-1
86,86,89,3,False,-3
87,87,89,2,True,-2
88,89,89,0,True,0
89,89,89,0,True,0
90,90,94,4,False,-4
91,91,89,2,True,2
92,91,94,3,False,-3
93,93,97,4,False,-4
94,94,94,0,True,0
95,94,97,3,False,-3
96,97,97,0,True,0
97,97,97,0,True,0
98,98,97,1,True,1
99,98,97,1,True,1
