age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,0,0,True,0
2,3,3,0,True,0
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,5,12,7,False,-7
7,8,12,4,False,-4
8,8,10,2,True,-2
9,9,10,1,True,-1
10,10,10,0,True,0
11,11,11,0,True,0
12,12,12,0,True,0
13,13,14,1,True,-1
14,14,14,0,True,0
15,15,15,0,True,0
16,17,64,47,False,-47
17,17,17,0,True,0
18,17,19,2,True,-2
19,19,19,0,True,0
20,20,20,0,True,0
21,21,21,0,True,0
22,21,21,0,True,0
23,24,24,0,True,0
24,24,24,0,True,0
25,25,25,0,True,0
26,26,26,0,True,0
27,27,27,0,True,0
28,28,28,0,True,0
29,29,29,0,True,0
30,31,35,4,False,-4
31,31,31,0,True,0
32,31,35,4,False,-4
33,33,33,0,True,0
34,34,34,0,True,0
35,35,35,0,True,0
36,35,35,0,True,0
37,37,35,2,True,2
38,37,35,2,True,2
39,37,35,2,True,2
40,43,35,8,False,8
41,43,43,0,True,0
42,43,43,0,True,0
43,43,43,0,True,0
44,44,43,1,True,1
45,45,45,0,True,0
46,46,46,0,True,0
47,47,12,35,False,35
48,48,48,0,True,0
49,48,43,5,False,5
50,48,48,0,True,0
51,53,48,5,False,5
52,53,53,0,True,0
53,53,53,0,True,0
54,54,54,0,True,0
55,54,54,0,True,0
56,57,54,3,False,3
57,57,57,0,True,0
58,58,58,0,True,0
59,58,58,0,True,0
60,58,64,6,False,-6
61,64,64,0,True,0
62,64,64,0,True,0
63,64,64,0,True,0
64,64,64,0,True,0
65,64,64,0,True,0
66,64,70,6,False,-6
67,68,68,0,True,0
68,68,68,0,True,0
69,69,69,0,True,0
70,70,70,0,True,0
71,71,70,1,True,1
72,71,70,1,True,1
73,73,73,0,True,0
74,75,70,5,False,5
75,75,75,0,True,0
76,75,75,0,True,0
77,77,77,0,True,0
78,77,80,3,False,-3
79,79,80,1,True,-1
80,80,80,0,True,0
81,81,80,1,True,1
82,82,80,2,True,2
83,83,80,3,False,3
84,84,84,0,True,0
85,85,80,5,False,5
86,86,80,6,False,6
87,87,80,7,False,7
88,89,89,0,True,0
89,89,90,1,True,-1
90,90,90,0,True,0
91,91,90,1,True,1
92,91,93,2,True,-2
93,93,93,0,True,0
94,94,94,0,True,0
95,94,94,0,True,0
96,97,93,4,False,4
97,97,90,7,False,7
98,98,80,18,False,18
99,98,0,98,False,98
