age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,73,73,False,-73
2,3,9,6,False,-6
3,3,4,1,True,-1
4,4,4,0,True,0
5,5,9,4,False,-4
6,5,68,63,False,-63
7,8,68,60,False,-60
8,8,9,1,True,-1
9,9,9,0,True,0
10,10,9,1,True,1
11,11,11,0,True,0
12,12,13,1,True,-1
13,13,13,0,True,0
14,14,17,3,False,-3
15,15,17,2,True,-2
16,17,17,0,True,0
17,17,17,0,True,0
18,17,17,0,True,0
19,19,17,2,True,2
20,20,21,1,True,-1
21,21,21,0,True,0
22,21,21,0,True,0
23,24,21,3,False,3
24,24,24,0,True,0
25,25,17,8,False,8
26,26,17,9,False,9
27,27,17,10,False,10
28,28,73,45,False,-45
29,29,73,44,False,-44
30,31,17,14,False,14
31,31,21,10,False,10
32,31,17,14,False,14
33,33,17,16,False,16
34,34,68,34,False,-34
35,35,17,18,False,18
36,35,46,11,False,-11
37,37,73,36,False,-36
38,37,46,9,False,-9
39,37,46,9,False,-9
40,43,68,25,False,-25
41,43,17,26,False,26
42,43,68,25,False,-25
43,43,68,25,False,-25
44,44,46,2,True,-2
45,45,17,28,False,28
46,46,46,0,True,0
47,47,46,1,True,1
48,48,46,2,True,2
49,48,46,2,True,2
50,48,21,27,False,27
51,53,73,20,False,-20
52,53,46,7,False,7
53,53,73,20,False,-20
54,54,68,14,False,-14
55,54,21,33,False,33
56,57,68,11,False,-11
57,57,73,16,False,-16
58,58,68,10,False,-10
59,58,73,15,False,-15
60,58,68,10,False,-10
61,64,73,9,False,-9
62,64,68,4,False,-4
63,64,68,4,False,-4
64,64,68,4,False,-4
65,64,68,4,False,-4
66,64,68,4,False,-4
67,68,68,0,True,0
68,68,68,0,True,0
69,69,68,1,True,1
70,70,68,2,True,2
71,71,73,2,True,-2
72,71,73,2,True,-2
73,73,73,0,True,0
74,75,73,2,True,2
75,75,73,2,True,2
76,75,73,2,True,2
77,77,73,4,False,4
78,77,73,4,False,4
79,79,83,4,False,-4
80,80,83,3,False,-3
81,81,83,2,True,-2
82,82,83,1,True,-1
83,83,83,0,True,0
84,84,83,1,True,1
85,85,85,0,True,0
86,86,86,0,True,0
87,87,83,4,False,4
88,89,91,2,True,-2
89,89,91,2,True,-2
90,90,91,1,True,-1
91,91,91,0,True,0
92,91,97,6,False,-6
93,93,97,4,False,-4
94,94,97,3,False,-3
95,94,97,3,False,-3
96,97,97,0,True,0
97,97,97,0,True,0
98,98,97,1,True,1
99,98,97,1,True,1
