age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,15,15,False,-15
2,3,15,12,False,-12
3,3,3,0,True,0
4,4,15,11,False,-11
5,5,15,10,False,-10
6,5,15,10,False,-10
7,8,15,7,False,-7
8,8,15,7,False,-7
9,9,14,5,False,-5
10,10,10,0,True,0
11,11,14,3,False,-3
12,12,14,2,True,-2
13,13,14,1,True,-1
14,14,14,0,True,0
15,15,15,0,True,0
16,17,15,2,True,2
17,17,17,0,True,0
18,17,15,2,True,2
19,19,20,1,True,-1
20,20,20,0,True,0
21,21,21,0,True,0
22,21,21,0,True,0
23,24,21,3,False,3
24,24,24,0,True,0
25,25,25,0,True,0
26,26,26,0,True,0
27,27,27,0,True,0
28,28,29,1,True,-1
29,29,29,0,True,0
30,31,29,2,True,2
31,31,31,0,True,0
32,31,20,11,False,11
33,33,21,12,False,12
34,34,34,0,True,0
35,35,35,0,True,0
36,35,29,6,False,6
37,37,15,22,False,22
38,37,14,23,False,23
39,37,15,22,False,22
40,43,15,28,False,28
41,43,15,28,False,28
42,43,43,0,True,0
43,43,43,0,True,0
44,44,43,1,True,1
45,45,15,30,False,30
46,46,14,32,False,32
47,47,15,32,False,32
48,48,20,28,False,28
49,48,15,33,False,33
50,48,20,28,False,28
51,53,15,38,False,38
52,53,20,33,False,33
53,53,53,0,True,0
54,54,14,40,False,40
55,54,15,39,False,39
56,57,14,43,False,43
57,57,15,42,False,42
58,58,15,43,False,43
59,58,15,43,False,43
60,58,70,12,False,-12
61,64,15,49,False,49
62,64,15,49,False,49
63,64,15,49,False,49
64,64,64,0,True,0
65,64,64,0,True,0
66,64,70,6,False,-6
67,68,70,2,True,-2
68,68,70,2,True,-2
69,69,70,1,True,-1
70,70,70,0,True,0
71,71,70,1,True,1
72,71,70,1,True,1
73,73,70,3,False,3
74,75,70,5,False,5
75,75,70,5,False,5
76,75,80,5,False,-5
77,77,77,0,True,0
78,77,80,3,False,-3
79,79,80,1,True,-1
80,80,80,0,True,0
81,81,80,1,True,1
82,82,80,2,True,2
83,83,84,1,True,-1
84,84,84,0,True,0
85,85,84,1,True,1
86,86,80,6,False,6
87,87,15,72,False,72
88,89,80,9,False,9
89,89,15,74,False,74
90,90,90,0,True,0
91,91,93,2,True,-2
92,91,14,77,False,77
93,93,93,0,True,0
94,94,94,0,True,0
95,94,93,1,True,1
96,97,14,83,False,83
97,97,14,83,False,83
98,98,14,84,False,84
99,98,15,83,False,83
