model,bigger_dataset,bigger_dataset_1.7,digits,float,words
all-MiniLM-L12-v2,,,0.62,0.64,0.29
all-MiniLM-L6-v2,0.79,0.74,0.67,0.67,0.25
all-mpnet-base-v2,,,0.04,0.2,0.11
all-roberta-large-v1,,,0.12,0.22,0.16
bert-base-ages_digits,0.35,0.44,0.55,0.62,0.15
bert-base-cased,,,0.05,0.21,0.01
bert-base-nli-cls-token,,,0.88,,
bert-base-nli-mean-tokens,0.84,0.96,0.87,0.84,0.26
bert-base-uncased,0.21,0.11,0.04,0.29,0.02
bert-base_ages+full,0.8,0.75,0.89,0.92,0.31
bert-plain-triplet,,,0.78,0.83,0.18
intfloat/e5-small,0.81,0.73,0.78,0.7,0.24
nli-mean-numeric-triplet,0.85,0.95,0.86,0.84,0.27
princeton-nlp/unsup-simcse-bert-base-uncased,0.8,0.92,0.85,0.87,0.3
tbs17/mathbert,,,0.65,,0.03
