age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,1,1,0,True,0
2,2,2,0,True,0
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,6,6,0,True,0
7,7,7,0,True,0
8,8,8,0,True,0
9,9,9,0,True,0
10,9,9,0,True,0
11,9,9,0,True,0
12,9,8,1,True,1
13,9,7,2,True,2
14,9,8,1,True,1
15,9,5,4,False,4
16,9,4,5,False,5
17,9,7,2,True,2
18,9,6,3,False,3
19,9,1,8,False,8
20,9,1,8,False,8
21,9,1,8,False,8
22,9,2,7,False,7
23,9,9,0,True,0
24,9,6,3,False,3
25,9,5,4,False,4
26,9,6,3,False,3
27,9,7,2,True,2
28,9,7,2,True,2
29,9,7,2,True,2
30,9,1,8,False,8
31,9,1,8,False,8
32,9,2,7,False,7
33,9,3,6,False,6
34,9,4,5,False,5
35,9,7,2,True,2
36,9,4,5,False,5
37,9,7,2,True,2
38,9,4,5,False,5
39,9,1,8,False,8
40,9,2,7,False,7
41,9,4,5,False,5
42,9,7,2,True,2
43,9,4,5,False,5
44,9,4,5,False,5
45,9,5,4,False,4
46,9,2,7,False,7
47,9,2,7,False,7
48,9,2,7,False,7
49,9,7,2,True,2
50,9,1,8,False,8
51,9,1,8,False,8
52,9,2,7,False,7
53,9,2,7,False,7
54,9,4,5,False,5
55,9,2,7,False,7
56,9,2,7,False,7
57,9,2,7,False,7
58,9,2,7,False,7
59,9,2,7,False,7
60,9,2,7,False,7
61,9,6,3,False,3
62,9,2,7,False,7
63,9,6,3,False,3
64,9,2,7,False,7
65,9,2,7,False,7
66,9,6,3,False,3
67,9,7,2,True,2
68,9,8,1,True,1
69,9,7,2,True,2
70,9,7,2,True,2
71,9,7,2,True,2
72,9,7,2,True,2
73,9,7,2,True,2
74,9,7,2,True,2
75,9,4,5,False,5
76,9,7,2,True,2
77,9,7,2,True,2
78,9,7,2,True,2
79,9,9,0,True,0
80,9,2,7,False,7
81,9,8,1,True,1
82,9,8,1,True,1
83,9,4,5,False,5
84,9,4,5,False,5
85,9,4,5,False,5
86,9,8,1,True,1
87,9,8,1,True,1
88,9,8,1,True,1
89,9,9,0,True,0
90,9,1,8,False,8
91,9,9,0,True,0
92,9,9,0,True,0
93,9,9,0,True,0
94,9,9,0,True,0
95,9,9,0,True,0
96,9,6,3,False,3
97,9,9,0,True,0
98,9,9,0,True,0
99,9,9,0,True,0
