age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,1,1,0,True,0
2,2,3,1,True,-1
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,6,4,2,True,2
7,7,8,1,True,-1
8,8,8,0,True,0
9,9,9,0,True,0
10,9,8,1,True,1
11,9,8,1,True,1
12,9,8,1,True,1
13,9,8,1,True,1
14,9,8,1,True,1
15,9,8,1,True,1
16,9,8,1,True,1
17,9,8,1,True,1
18,9,3,6,False,6
19,9,8,1,True,1
20,9,8,1,True,1
21,9,8,1,True,1
22,9,8,1,True,1
23,9,3,6,False,6
24,9,8,1,True,1
25,9,5,4,False,4
26,9,3,6,False,6
27,9,3,6,False,6
28,9,3,6,False,6
29,9,3,6,False,6
30,9,3,6,False,6
31,9,3,6,False,6
32,9,3,6,False,6
33,9,3,6,False,6
34,9,3,6,False,6
35,9,3,6,False,6
36,9,3,6,False,6
37,9,3,6,False,6
38,9,3,6,False,6
39,9,0,9,False,9
40,9,0,9,False,9
41,9,0,9,False,9
42,9,0,9,False,9
43,9,0,9,False,9
44,9,0,9,False,9
45,9,5,4,False,4
46,9,0,9,False,9
47,9,0,9,False,9
48,9,0,9,False,9
49,9,0,9,False,9
50,9,0,9,False,9
51,9,0,9,False,9
52,9,0,9,False,9
53,9,0,9,False,9
54,9,0,9,False,9
55,9,0,9,False,9
56,9,3,6,False,6
57,9,0,9,False,9
58,9,0,9,False,9
59,9,0,9,False,9
60,9,0,9,False,9
61,9,0,9,False,9
62,9,0,9,False,9
63,9,0,9,False,9
64,9,0,9,False,9
65,9,3,6,False,6
66,9,0,9,False,9
67,9,3,6,False,6
68,9,3,6,False,6
69,9,0,9,False,9
70,9,3,6,False,6
71,9,3,6,False,6
72,9,8,1,True,1
73,9,3,6,False,6
74,9,0,9,False,9
75,9,5,4,False,4
76,9,0,9,False,9
77,9,0,9,False,9
78,9,0,9,False,9
79,9,1,8,False,8
80,9,8,1,True,1
81,9,0,9,False,9
82,9,0,9,False,9
83,9,0,9,False,9
84,9,0,9,False,9
85,9,1,8,False,8
86,9,1,8,False,8
87,9,1,8,False,8
88,9,8,1,True,1
89,9,1,8,False,8
90,9,1,8,False,8
91,9,1,8,False,8
92,9,0,9,False,9
93,9,0,9,False,9
94,9,1,8,False,8
95,9,0,9,False,9
96,9,0,9,False,9
97,9,0,9,False,9
98,9,0,9,False,9
99,9,0,9,False,9
