age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,1,1,0,True,0
2,2,2,0,True,0
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,6,6,0,True,0
7,7,7,0,True,0
8,8,8,0,True,0
9,9,8,1,True,1
10,9,8,1,True,1
11,9,8,1,True,1
12,9,8,1,True,1
13,9,7,2,True,2
14,9,8,1,True,1
15,9,8,1,True,1
16,9,8,1,True,1
17,9,7,2,True,2
18,9,8,1,True,1
19,9,9,0,True,0
20,9,8,1,True,1
21,9,7,2,True,2
22,9,2,7,False,7
23,9,3,6,False,6
24,9,7,2,True,2
25,9,3,6,False,6
26,9,7,2,True,2
27,9,7,2,True,2
28,9,7,2,True,2
29,9,3,6,False,6
30,9,3,6,False,6
31,9,3,6,False,6
32,9,3,6,False,6
33,9,3,6,False,6
34,9,3,6,False,6
35,9,4,5,False,5
36,9,3,6,False,6
37,9,3,6,False,6
38,9,3,6,False,6
39,9,3,6,False,6
40,9,4,5,False,5
41,9,4,5,False,5
42,9,2,7,False,7
43,9,3,6,False,6
44,9,4,5,False,5
45,9,4,5,False,5
46,9,4,5,False,5
47,9,7,2,True,2
48,9,4,5,False,5
49,9,1,8,False,8
50,9,1,8,False,8
51,9,1,8,False,8
52,9,1,8,False,8
53,9,3,6,False,6
54,9,4,5,False,5
55,9,7,2,True,2
56,9,7,2,True,2
57,9,7,2,True,2
58,9,8,1,True,1
59,9,1,8,False,8
60,9,4,5,False,5
61,9,7,2,True,2
62,9,0,9,False,9
63,9,8,1,True,1
64,9,0,9,False,9
65,9,4,5,False,5
66,9,6,3,False,3
67,9,7,2,True,2
68,9,7,2,True,2
69,9,7,2,True,2
70,9,7,2,True,2
71,9,7,2,True,2
72,9,7,2,True,2
73,9,7,2,True,2
74,9,7,2,True,2
75,9,4,5,False,5
76,9,6,3,False,3
77,9,7,2,True,2
78,9,7,2,True,2
79,9,8,1,True,1
80,9,4,5,False,5
81,9,4,5,False,5
82,9,4,5,False,5
83,9,4,5,False,5
84,9,4,5,False,5
85,9,4,5,False,5
86,9,8,1,True,1
87,9,8,1,True,1
88,9,8,1,True,1
89,9,8,1,True,1
90,9,8,1,True,1
91,9,1,8,False,8
92,9,2,7,False,7
93,9,1,8,False,8
94,9,1,8,False,8
95,9,1,8,False,8
96,9,1,8,False,8
97,9,1,8,False,8
98,9,1,8,False,8
99,9,1,8,False,8
