age,true,pred,error,within_+-2,full_error
0,0,1,1,True,-1
1,1,1,0,True,0
2,2,2,0,True,0
3,3,2,1,True,1
4,4,4,0,True,0
5,5,7,2,True,-2
6,6,6,0,True,0
7,7,7,0,True,0
8,8,8,0,True,0
9,9,7,2,True,2
10,9,7,2,True,2
11,9,1,8,False,8
12,9,1,8,False,8
13,9,7,2,True,2
14,9,7,2,True,2
15,9,1,8,False,8
16,9,2,7,False,7
17,9,2,7,False,7
18,9,2,7,False,7
19,9,1,8,False,8
20,9,1,8,False,8
21,9,2,7,False,7
22,9,2,7,False,7
23,9,2,7,False,7
24,9,2,7,False,7
25,9,2,7,False,7
26,9,2,7,False,7
27,9,2,7,False,7
28,9,2,7,False,7
29,9,2,7,False,7
30,9,1,8,False,8
31,9,2,7,False,7
32,9,2,7,False,7
33,9,2,7,False,7
34,9,2,7,False,7
35,9,2,7,False,7
36,9,2,7,False,7
37,9,2,7,False,7
38,9,2,7,False,7
39,9,2,7,False,7
40,9,1,8,False,8
41,9,2,7,False,7
42,9,2,7,False,7
43,9,2,7,False,7
44,9,2,7,False,7
45,9,7,2,True,2
46,9,2,7,False,7
47,9,2,7,False,7
48,9,4,5,False,5
49,9,1,8,False,8
50,9,1,8,False,8
51,9,1,8,False,8
52,9,2,7,False,7
53,9,2,7,False,7
54,9,7,2,True,2
55,9,7,2,True,2
56,9,7,2,True,2
57,9,2,7,False,7
58,9,2,7,False,7
59,9,2,7,False,7
60,9,1,8,False,8
61,9,2,7,False,7
62,9,2,7,False,7
63,9,2,7,False,7
64,9,2,7,False,7
65,9,2,7,False,7
66,9,6,3,False,3
67,9,2,7,False,7
68,9,7,2,True,2
69,9,2,7,False,7
70,9,1,8,False,8
71,9,2,7,False,7
72,9,2,7,False,7
73,9,2,7,False,7
74,9,2,7,False,7
75,9,1,8,False,8
76,9,7,2,True,2
77,9,7,2,True,2
78,9,1,8,False,8
79,9,1,8,False,8
80,9,1,8,False,8
81,9,1,8,False,8
82,9,2,7,False,7
83,9,2,7,False,7
84,9,1,8,False,8
85,9,1,8,False,8
86,9,6,3,False,3
87,9,1,8,False,8
88,9,8,1,True,1
89,9,1,8,False,8
90,9,1,8,False,8
91,9,1,8,False,8
92,9,2,7,False,7
93,9,2,7,False,7
94,9,2,7,False,7
95,9,1,8,False,8
96,9,2,7,False,7
97,9,1,8,False,8
98,9,1,8,False,8
99,9,1,8,False,8
