age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,1,1,0,True,0
2,2,2,0,True,0
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,6,6,0,True,0
7,7,7,0,True,0
8,8,8,0,True,0
9,9,9,0,True,0
10,9,9,0,True,0
11,9,9,0,True,0
12,9,3,6,False,6
13,9,3,6,False,6
14,9,9,0,True,0
15,9,1,8,False,8
16,9,1,8,False,8
17,9,1,8,False,8
18,9,7,2,True,2
19,9,1,8,False,8
20,9,1,8,False,8
21,9,8,1,True,1
22,9,1,8,False,8
23,9,1,8,False,8
24,9,1,8,False,8
25,9,1,8,False,8
26,9,3,6,False,6
27,9,3,6,False,6
28,9,3,6,False,6
29,9,7,2,True,2
30,9,1,8,False,8
31,9,1,8,False,8
32,9,3,6,False,6
33,9,3,6,False,6
34,9,3,6,False,6
35,9,8,1,True,1
36,9,0,9,False,9
37,9,3,6,False,6
38,9,3,6,False,6
39,9,9,0,True,0
40,9,4,5,False,5
41,9,9,0,True,0
42,9,3,6,False,6
43,9,3,6,False,6
44,9,4,5,False,5
45,9,4,5,False,5
46,9,4,5,False,5
47,9,4,5,False,5
48,9,3,6,False,6
49,9,7,2,True,2
50,9,1,8,False,8
51,9,1,8,False,8
52,9,3,6,False,6
53,9,7,2,True,2
54,9,4,5,False,5
55,9,4,5,False,5
56,9,4,5,False,5
57,9,7,2,True,2
58,9,4,5,False,5
59,9,8,1,True,1
60,9,8,1,True,1
61,9,9,0,True,0
62,9,9,0,True,0
63,9,9,0,True,0
64,9,4,5,False,5
65,9,9,0,True,0
66,9,9,0,True,0
67,9,9,0,True,0
68,9,7,2,True,2
69,9,7,2,True,2
70,9,7,2,True,2
71,9,7,2,True,2
72,9,1,8,False,8
73,9,3,6,False,6
74,9,4,5,False,5
75,9,7,2,True,2
76,9,7,2,True,2
77,9,7,2,True,2
78,9,7,2,True,2
79,9,9,0,True,0
80,9,9,0,True,0
81,9,9,0,True,0
82,9,9,0,True,0
83,9,4,5,False,5
84,9,4,5,False,5
85,9,8,1,True,1
86,9,9,0,True,0
87,9,9,0,True,0
88,9,1,8,False,8
89,9,1,8,False,8
90,9,1,8,False,8
91,9,1,8,False,8
92,9,1,8,False,8
93,9,1,8,False,8
94,9,1,8,False,8
95,9,1,8,False,8
96,9,1,8,False,8
97,9,1,8,False,8
98,9,3,6,False,6
99,9,1,8,False,8
