age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,1,1,0,True,0
2,2,3,1,True,-1
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,6,6,0,True,0
7,7,7,0,True,0
8,8,8,0,True,0
9,9,9,0,True,0
10,9,9,0,True,0
11,9,9,0,True,0
12,9,9,0,True,0
13,9,9,0,True,0
14,9,9,0,True,0
15,9,9,0,True,0
16,9,9,0,True,0
17,9,8,1,True,1
18,9,8,1,True,1
19,9,8,1,True,1
20,9,8,1,True,1
21,9,8,1,True,1
22,9,8,1,True,1
23,9,9,0,True,0
24,9,9,0,True,0
25,9,9,0,True,0
26,9,3,6,False,6
27,9,3,6,False,6
28,9,3,6,False,6
29,9,9,0,True,0
30,9,3,6,False,6
31,9,3,6,False,6
32,9,3,6,False,6
33,9,3,6,False,6
34,9,3,6,False,6
35,9,8,1,True,1
36,9,3,6,False,6
37,9,3,6,False,6
38,9,3,6,False,6
39,9,9,0,True,0
40,9,4,5,False,5
41,9,9,0,True,0
42,9,3,6,False,6
43,9,3,6,False,6
44,9,3,6,False,6
45,9,5,4,False,4
46,9,4,5,False,5
47,9,9,0,True,0
48,9,3,6,False,6
49,9,7,2,True,2
50,9,7,2,True,2
51,9,7,2,True,2
52,9,3,6,False,6
53,9,7,2,True,2
54,9,4,5,False,5
55,9,7,2,True,2
56,9,6,3,False,3
57,9,7,2,True,2
58,9,7,2,True,2
59,9,7,2,True,2
60,9,8,1,True,1
61,9,9,0,True,0
62,9,9,0,True,0
63,9,9,0,True,0
64,9,6,3,False,3
65,9,6,3,False,3
66,9,6,3,False,3
67,9,6,3,False,3
68,9,6,3,False,3
69,9,9,0,True,0
70,9,9,0,True,0
71,9,9,0,True,0
72,9,9,0,True,0
73,9,9,0,True,0
74,9,9,0,True,0
75,9,5,4,False,4
76,9,6,3,False,3
77,9,9,0,True,0
78,9,9,0,True,0
79,9,9,0,True,0
80,9,9,0,True,0
81,9,9,0,True,0
82,9,9,0,True,0
83,9,9,0,True,0
84,9,9,0,True,0
85,9,8,1,True,1
86,9,9,0,True,0
87,9,9,0,True,0
88,9,9,0,True,0
89,9,9,0,True,0
90,9,8,1,True,1
91,9,7,2,True,2
92,9,8,1,True,1
93,9,7,2,True,2
94,9,8,1,True,1
95,9,8,1,True,1
96,9,9,0,True,0
97,9,9,0,True,0
98,9,9,0,True,0
99,9,9,0,True,0
