age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,1,1,0,True,0
2,2,2,0,True,0
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,6,5,1,True,1
7,7,7,0,True,0
8,8,8,0,True,0
9,9,9,0,True,0
10,9,1,8,False,8
11,9,8,1,True,1
12,9,5,4,False,4
13,9,4,5,False,5
14,9,4,5,False,5
15,9,5,4,False,4
16,9,2,7,False,7
17,9,4,5,False,5
18,9,8,1,True,1
19,9,2,7,False,7
20,9,1,8,False,8
21,9,1,8,False,8
22,9,1,8,False,8
23,9,2,7,False,7
24,9,7,2,True,2
25,9,7,2,True,2
26,9,7,2,True,2
27,9,5,4,False,4
28,9,8,1,True,1
29,9,8,1,True,1
30,9,5,4,False,4
31,9,1,8,False,8
32,9,2,7,False,7
33,9,5,4,False,4
34,9,2,7,False,7
35,9,5,4,False,4
36,9,5,4,False,4
37,9,5,4,False,4
38,9,5,4,False,4
39,9,5,4,False,4
40,9,5,4,False,4
41,9,2,7,False,7
42,9,2,7,False,7
43,9,5,4,False,4
44,9,2,7,False,7
45,9,5,4,False,4
46,9,7,2,True,2
47,9,7,2,True,2
48,9,2,7,False,7
49,9,2,7,False,7
50,9,2,7,False,7
51,9,5,4,False,4
52,9,2,7,False,7
53,9,5,4,False,4
54,9,7,2,True,2
55,9,5,4,False,4
56,9,7,2,True,2
57,9,7,2,True,2
58,9,2,7,False,7
59,9,2,7,False,7
60,9,2,7,False,7
61,9,2,7,False,7
62,9,2,7,False,7
63,9,2,7,False,7
64,9,2,7,False,7
65,9,5,4,False,4
66,9,2,7,False,7
67,9,7,2,True,2
68,9,4,5,False,5
69,9,7,2,True,2
70,9,5,4,False,4
71,9,7,2,True,2
72,9,7,2,True,2
73,9,7,2,True,2
74,9,7,2,True,2
75,9,5,4,False,4
76,9,7,2,True,2
77,9,7,2,True,2
78,9,8,1,True,1
79,9,8,1,True,1
80,9,8,1,True,1
81,9,8,1,True,1
82,9,8,1,True,1
83,9,8,1,True,1
84,9,8,1,True,1
85,9,8,1,True,1
86,9,8,1,True,1
87,9,8,1,True,1
88,9,8,1,True,1
89,9,8,1,True,1
90,9,2,7,False,7
91,9,2,7,False,7
92,9,9,0,True,0
93,9,9,0,True,0
94,9,5,4,False,4
95,9,2,7,False,7
96,9,2,7,False,7
97,9,7,2,True,2
98,9,2,7,False,7
99,9,1,8,False,8
