age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,1,1,0,True,0
2,2,2,0,True,0
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,6,6,0,True,0
7,7,7,0,True,0
8,8,8,0,True,0
9,9,9,0,True,0
10,9,9,0,True,0
11,9,7,2,True,2
12,9,1,8,False,8
13,9,8,1,True,1
14,9,9,0,True,0
15,9,9,0,True,0
16,9,6,3,False,3
17,9,5,4,False,4
18,9,7,2,True,2
19,9,1,8,False,8
20,9,8,1,True,1
21,9,8,1,True,1
22,9,9,0,True,0
23,9,2,7,False,7
24,9,2,7,False,7
25,9,6,3,False,3
26,9,6,3,False,3
27,9,3,6,False,6
28,9,3,6,False,6
29,9,7,2,True,2
30,9,3,6,False,6
31,9,3,6,False,6
32,9,8,1,True,1
33,9,8,1,True,1
34,9,8,1,True,1
35,9,8,1,True,1
36,9,9,0,True,0
37,9,3,6,False,6
38,9,9,0,True,0
39,9,6,3,False,3
40,9,9,0,True,0
41,9,6,3,False,3
42,9,3,6,False,6
43,9,3,6,False,6
44,9,4,5,False,5
45,9,5,4,False,4
46,9,4,5,False,5
47,9,4,5,False,5
48,9,3,6,False,6
49,9,7,2,True,2
50,9,7,2,True,2
51,9,3,6,False,6
52,9,8,1,True,1
53,9,8,1,True,1
54,9,4,5,False,5
55,9,8,1,True,1
56,9,8,1,True,1
57,9,8,1,True,1
58,9,4,5,False,5
59,9,4,5,False,5
60,9,2,7,False,7
61,9,4,5,False,5
62,9,4,5,False,5
63,9,4,5,False,5
64,9,4,5,False,5
65,9,5,4,False,4
66,9,4,5,False,5
67,9,9,0,True,0
68,9,2,7,False,7
69,9,9,0,True,0
70,9,9,0,True,0
71,9,4,5,False,5
72,9,4,5,False,5
73,9,3,6,False,6
74,9,4,5,False,5
75,9,7,2,True,2
76,9,7,2,True,2
77,9,7,2,True,2
78,9,7,2,True,2
79,9,6,3,False,3
80,9,9,0,True,0
81,9,9,0,True,0
82,9,9,0,True,0
83,9,4,5,False,5
84,9,8,1,True,1
85,9,8,1,True,1
86,9,8,1,True,1
87,9,1,8,False,8
88,9,2,7,False,7
89,9,8,1,True,1
90,9,1,8,False,8
91,9,1,8,False,8
92,9,2,7,False,7
93,9,2,7,False,7
94,9,2,7,False,7
95,9,2,7,False,7
96,9,2,7,False,7
97,9,9,0,True,0
98,9,9,0,True,0
99,9,9,0,True,0
