age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,14,14,False,-14
2,3,3,0,True,0
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,5,5,0,True,0
7,8,8,0,True,0
8,8,8,0,True,0
9,9,9,0,True,0
10,10,10,0,True,0
11,11,11,0,True,0
12,12,12,0,True,0
13,13,13,0,True,0
14,14,14,0,True,0
15,15,15,0,True,0
16,17,14,3,False,3
17,17,17,0,True,0
18,17,19,2,True,-2
19,19,19,0,True,0
20,20,20,0,True,0
21,21,19,2,True,2
22,21,20,1,True,1
23,24,20,4,False,4
24,24,20,4,False,4
25,25,20,5,False,5
26,26,20,6,False,6
27,27,19,8,False,8
28,28,8,20,False,20
29,29,31,2,True,-2
30,31,31,0,True,0
31,31,31,0,True,0
32,31,3,28,False,28
33,33,3,30,False,30
34,34,34,0,True,0
35,35,70,35,False,-35
36,35,34,1,True,1
37,37,70,33,False,-33
38,37,70,33,False,-33
39,37,70,33,False,-33
40,43,44,1,True,-1
41,43,44,1,True,-1
42,43,47,4,False,-4
43,43,44,1,True,-1
44,44,80,36,False,-36
45,45,45,0,True,0
46,46,57,11,False,-11
47,47,57,10,False,-10
48,48,80,32,False,-32
49,48,70,22,False,-22
50,48,57,9,False,-9
51,53,70,17,False,-17
52,53,57,4,False,-4
53,53,19,34,False,34
54,54,64,10,False,-10
55,54,57,3,False,-3
56,57,68,11,False,-11
57,57,70,13,False,-13
58,58,68,10,False,-10
59,58,69,11,False,-11
60,58,68,10,False,-10
61,64,69,5,False,-5
62,64,68,4,False,-4
63,64,70,6,False,-6
64,64,70,6,False,-6
65,64,70,6,False,-6
66,64,70,6,False,-6
67,68,70,2,True,-2
68,68,70,2,True,-2
69,69,70,1,True,-1
70,70,70,0,True,0
71,71,70,1,True,1
72,71,70,1,True,1
73,73,70,3,False,3
74,75,70,5,False,5
75,75,70,5,False,5
76,75,70,5,False,5
77,77,70,7,False,7
78,77,70,7,False,7
79,79,70,9,False,9
80,80,80,0,True,0
81,81,80,1,True,1
82,82,80,2,True,2
83,83,80,3,False,3
84,84,80,4,False,4
85,85,80,5,False,5
86,86,80,6,False,6
87,87,80,7,False,7
88,89,80,9,False,9
89,89,80,9,False,9
90,90,90,0,True,0
91,91,90,1,True,1
92,91,90,1,True,1
93,93,90,3,False,3
94,94,90,4,False,4
95,94,90,4,False,4
96,97,90,7,False,7
97,97,90,7,False,7
98,98,90,8,False,8
99,98,90,8,False,8
