age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,0,0,True,0
2,3,0,3,False,3
3,3,0,3,False,3
4,4,4,0,True,0
5,5,5,0,True,0
6,5,0,5,False,5
7,8,0,8,False,8
8,8,8,0,True,0
9,9,0,9,False,9
10,10,10,0,True,0
11,11,0,11,False,11
12,12,0,12,False,12
13,13,10,3,False,3
14,14,10,4,False,4
15,15,15,0,True,0
16,17,0,17,False,17
17,17,0,17,False,17
18,17,0,17,False,17
19,19,0,19,False,19
20,20,20,0,True,0
21,21,0,21,False,21
22,21,0,21,False,21
23,24,0,24,False,24
24,24,0,24,False,24
25,25,0,25,False,25
26,26,0,26,False,26
27,27,0,27,False,27
28,28,0,28,False,28
29,29,0,29,False,29
30,31,0,31,False,31
31,31,0,31,False,31
32,31,0,31,False,31
33,33,0,33,False,33
34,34,0,34,False,34
35,35,0,35,False,35
36,35,0,35,False,35
37,37,0,37,False,37
38,37,0,37,False,37
39,37,0,37,False,37
40,43,47,4,False,-4
41,43,0,43,False,43
42,43,47,4,False,-4
43,43,0,43,False,43
44,44,0,44,False,44
45,45,0,45,False,45
46,46,0,46,False,46
47,47,0,47,False,47
48,48,0,48,False,48
49,48,0,48,False,48
50,48,57,9,False,-9
51,53,0,53,False,53
52,53,0,53,False,53
53,53,47,6,False,6
54,54,0,54,False,54
55,54,0,54,False,54
56,57,0,57,False,57
57,57,0,57,False,57
58,58,57,1,True,1
59,58,0,58,False,58
60,58,0,58,False,58
61,64,0,64,False,64
62,64,0,64,False,64
63,64,0,64,False,64
64,64,0,64,False,64
65,64,0,64,False,64
66,64,0,64,False,64
67,68,81,13,False,-13
68,68,81,13,False,-13
69,69,0,69,False,69
70,70,80,10,False,-10
71,71,81,10,False,-10
72,71,81,10,False,-10
73,73,81,8,False,-8
74,75,81,6,False,-6
75,75,80,5,False,-5
76,75,81,6,False,-6
77,77,87,10,False,-10
78,77,81,4,False,-4
79,79,80,1,True,-1
80,80,80,0,True,0
81,81,80,1,True,1
82,82,81,1,True,1
83,83,80,3,False,3
84,84,81,3,False,3
85,85,80,5,False,5
86,86,80,6,False,6
87,87,80,7,False,7
88,89,81,8,False,8
89,89,90,1,True,-1
90,90,90,0,True,0
91,91,91,0,True,0
92,91,90,1,True,1
93,93,90,3,False,3
94,94,90,4,False,4
95,94,90,4,False,4
96,97,90,7,False,7
97,97,90,7,False,7
98,98,90,8,False,8
99,98,0,98,False,98
