age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,0,0,True,0
2,3,3,0,True,0
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,5,4,1,True,1
7,8,4,4,False,4
8,8,8,0,True,0
9,9,9,0,True,0
10,10,10,0,True,0
11,11,10,1,True,1
12,12,12,0,True,0
13,13,3,10,False,10
14,14,0,14,False,14
15,15,0,15,False,15
16,17,0,17,False,17
17,17,0,17,False,17
18,17,0,17,False,17
19,19,0,19,False,19
20,20,20,0,True,0
21,21,0,21,False,21
22,21,3,18,False,18
23,24,0,24,False,24
24,24,0,24,False,24
25,25,20,5,False,5
26,26,0,26,False,26
27,27,0,27,False,27
28,28,0,28,False,28
29,29,0,29,False,29
30,31,0,31,False,31
31,31,3,28,False,28
32,31,3,28,False,28
33,33,3,30,False,30
34,34,0,34,False,34
35,35,0,35,False,35
36,35,0,35,False,35
37,37,0,37,False,37
38,37,0,37,False,37
39,37,0,37,False,37
40,43,0,43,False,43
41,43,0,43,False,43
42,43,0,43,False,43
43,43,0,43,False,43
44,44,0,44,False,44
45,45,0,45,False,45
46,46,0,46,False,46
47,47,0,47,False,47
48,48,0,48,False,48
49,48,0,48,False,48
50,48,90,42,False,-42
51,53,0,53,False,53
52,53,0,53,False,53
53,53,0,53,False,53
54,54,0,54,False,54
55,54,0,54,False,54
56,57,0,57,False,57
57,57,0,57,False,57
58,58,0,58,False,58
59,58,0,58,False,58
60,58,69,11,False,-11
61,64,0,64,False,64
62,64,0,64,False,64
63,64,69,5,False,-5
64,64,0,64,False,64
65,64,69,5,False,-5
66,64,0,64,False,64
67,68,0,68,False,68
68,68,0,68,False,68
69,69,0,69,False,69
70,70,70,0,True,0
71,71,70,1,True,1
72,71,70,1,True,1
73,73,70,3,False,3
74,75,89,14,False,-14
75,75,80,5,False,-5
76,75,80,5,False,-5
77,77,80,3,False,-3
78,77,80,3,False,-3
79,79,89,10,False,-10
80,80,80,0,True,0
81,81,89,8,False,-8
82,82,89,7,False,-7
83,83,89,6,False,-6
84,84,89,5,False,-5
85,85,89,4,False,-4
86,86,89,3,False,-3
87,87,89,2,True,-2
88,89,89,0,True,0
89,89,89,0,True,0
90,90,90,0,True,0
91,91,90,1,True,1
92,91,90,1,True,1
93,93,89,4,False,4
94,94,89,5,False,5
95,94,90,4,False,4
96,97,90,7,False,7
97,97,90,7,False,7
98,98,90,8,False,8
99,98,90,8,False,8
