age,true,pred,error,within_+-2,full_error
0,0.0,0,0.0,True,0.0
1,0.0,91,91.0,False,-91.0
2,3.0,19,16.0,False,-16.0
3,3.0,3,0.0,True,0.0
4,4.0,4,0.0,True,0.0
5,5.0,5,0.0,True,0.0
6,5.0,86,81.0,False,-81.0
7,8.0,87,79.0,False,-79.0
8,8.0,8,0.0,True,0.0
9,9.0,9,0.0,True,0.0
10,10.0,10,0.0,True,0.0
11,11.0,11,0.0,True,0.0
12,12.0,12,0.0,True,0.0
13,13.0,13,0.0,True,0.0
14,14.0,14,0.0,True,0.0
15,15.0,15,0.0,True,0.0
16,17.0,17,0.0,True,0.0
17,17.0,17,0.0,True,0.0
18,17.0,11,6.0,False,6.0
19,19.0,19,0.0,True,0.0
20,20.0,20,0.0,True,0.0
21,21.0,13,8.0,False,8.0
22,21.0,28,7.0,False,-7.0
23,24.0,29,5.0,False,-5.0
24,24.0,12,12.0,False,12.0
25,25.0,5,20.0,False,20.0
26,26.0,3,23.0,False,23.0
27,27.0,33,6.0,False,-6.0
28,28.0,89,61.0,False,-61.0
29,29.0,37,8.0,False,-8.0
30,31.0,31,0.0,True,0.0
31,31.0,33,2.0,True,-2.0
32,31.0,43,12.0,False,-12.0
33,33.0,13,20.0,False,20.0
34,34.0,33,1.0,True,1.0
35,35.0,35,0.0,True,0.0
36,35.0,9,26.0,False,26.0
37,37.0,33,4.0,False,4.0
38,37.0,14,23.0,False,23.0
39,37.0,15,22.0,False,22.0
40,43.0,45,2.0,True,-2.0
41,43.0,10,33.0,False,33.0
42,43.0,17,26.0,False,26.0
43,43.0,43,0.0,True,0.0
44,44.0,44,0.0,True,0.0
45,45.0,54,9.0,False,-9.0
46,46.0,11,35.0,False,35.0
47,47.0,19,28.0,False,28.0
48,48.0,12,36.0,False,36.0
49,48.0,19,29.0,False,29.0
50,48.0,54,6.0,False,-6.0
51,53.0,13,40.0,False,40.0
52,53.0,13,40.0,False,40.0
53,53.0,13,40.0,False,40.0
54,54.0,4,50.0,False,50.0
55,54.0,5,49.0,False,49.0
56,57.0,46,11.0,False,11.0
57,57.0,57,0.0,True,0.0
58,58.0,69,11.0,False,-11.0
59,58.0,69,11.0,False,-11.0
60,58.0,68,10.0,False,-10.0
61,64.0,69,5.0,False,-5.0
62,64.0,12,52.0,False,52.0
63,64.0,14,50.0,False,50.0
64,64.0,43,21.0,False,21.0
65,64.0,20,44.0,False,44.0
66,64.0,26,38.0,False,38.0
67,68.0,17,51.0,False,51.0
68,68.0,86,18.0,False,-18.0
69,69.0,9,60.0,False,60.0
70,70.0,68,2.0,True,2.0
71,71.0,87,16.0,False,-16.0
72,71.0,73,2.0,True,-2.0
73,73.0,83,10.0,False,-10.0
74,75.0,84,9.0,False,-9.0
75,75.0,85,10.0,False,-10.0
76,75.0,86,11.0,False,-11.0
77,77.0,77,0.0,True,0.0
78,77.0,86,9.0,False,-9.0
79,79.0,87,8.0,False,-8.0
80,80.0,80,0.0,True,0.0
81,81.0,81,0.0,True,0.0
82,82.0,12,70.0,False,70.0
83,83.0,84,1.0,True,-1.0
84,84.0,8,76.0,False,76.0
85,85.0,85,0.0,True,0.0
86,86.0,8,78.0,False,78.0
87,87.0,98,11.0,False,-11.0
88,89.0,98,9.0,False,-9.0
89,89.0,9,80.0,False,80.0
90,90.0,90,0.0,True,0.0
91,91.0,90,1.0,True,1.0
92,91.0,93,2.0,True,-2.0
93,93.0,17,76.0,False,76.0
94,94.0,14,80.0,False,80.0
95,94.0,15,79.0,False,79.0
96,97.0,43,54.0,False,54.0
97,97.0,20,77.0,False,77.0
98,98.0,79,19.0,False,19.0
99,98.0,10,88.0,False,88.0
