age,true,pred,error,within_+-2,full_error
0,0,90,90,False,-90
1,0,90,90,False,-90
2,3,90,87,False,-87
3,3,90,87,False,-87
4,4,90,86,False,-86
5,5,90,85,False,-85
6,5,90,85,False,-85
7,8,90,82,False,-82
8,8,90,82,False,-82
9,9,90,81,False,-81
10,10,90,80,False,-80
11,11,90,79,False,-79
12,12,90,78,False,-78
13,13,90,77,False,-77
14,14,90,76,False,-76
15,15,90,75,False,-75
16,17,90,73,False,-73
17,17,90,73,False,-73
18,17,90,73,False,-73
19,19,90,71,False,-71
20,20,90,70,False,-70
21,21,90,69,False,-69
22,21,90,69,False,-69
23,24,90,66,False,-66
24,24,90,66,False,-66
25,25,90,65,False,-65
26,26,90,64,False,-64
27,27,90,63,False,-63
28,28,90,62,False,-62
29,29,90,61,False,-61
30,31,90,59,False,-59
31,31,90,59,False,-59
32,31,90,59,False,-59
33,33,90,57,False,-57
34,34,90,56,False,-56
35,35,90,55,False,-55
36,35,90,55,False,-55
37,37,90,53,False,-53
38,37,90,53,False,-53
39,37,90,53,False,-53
40,43,90,47,False,-47
41,43,90,47,False,-47
42,43,90,47,False,-47
43,43,90,47,False,-47
44,44,90,46,False,-46
45,45,90,45,False,-45
46,46,90,44,False,-44
47,47,90,43,False,-43
48,48,90,42,False,-42
49,48,90,42,False,-42
50,48,90,42,False,-42
51,53,90,37,False,-37
52,53,90,37,False,-37
53,53,90,37,False,-37
54,54,90,36,False,-36
55,54,90,36,False,-36
56,57,90,33,False,-33
57,57,90,33,False,-33
58,58,90,32,False,-32
59,58,90,32,False,-32
60,58,90,32,False,-32
61,64,90,26,False,-26
62,64,90,26,False,-26
63,64,90,26,False,-26
64,64,90,26,False,-26
65,64,90,26,False,-26
66,64,90,26,False,-26
67,68,90,22,False,-22
68,68,90,22,False,-22
69,69,90,21,False,-21
70,70,90,20,False,-20
71,71,90,19,False,-19
72,71,90,19,False,-19
73,73,90,17,False,-17
74,75,90,15,False,-15
75,75,90,15,False,-15
76,75,90,15,False,-15
77,77,90,13,False,-13
78,77,90,13,False,-13
79,79,90,11,False,-11
80,80,90,10,False,-10
81,81,90,9,False,-9
82,82,90,8,False,-8
83,83,90,7,False,-7
84,84,90,6,False,-6
85,85,90,5,False,-5
86,86,90,4,False,-4
87,87,90,3,False,-3
88,89,90,1,True,-1
89,89,90,1,True,-1
90,90,90,0,True,0
91,91,90,1,True,1
92,91,90,1,True,1
93,93,90,3,False,3
94,94,90,4,False,4
95,94,90,4,False,4
96,97,90,7,False,7
97,97,90,7,False,7
98,98,90,8,False,8
99,98,90,8,False,8
