age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,0,0,True,0
2,3,0,3,False,3
3,3,0,3,False,3
4,4,0,4,False,4
5,5,0,5,False,5
6,5,0,5,False,5
7,8,0,8,False,8
8,8,0,8,False,8
9,9,0,9,False,9
10,10,0,10,False,10
11,11,0,11,False,11
12,12,0,12,False,12
13,13,0,13,False,13
14,14,0,14,False,14
15,15,0,15,False,15
16,17,0,17,False,17
17,17,0,17,False,17
18,17,0,17,False,17
19,19,0,19,False,19
20,20,0,20,False,20
21,21,0,21,False,21
22,21,0,21,False,21
23,24,0,24,False,24
24,24,0,24,False,24
25,25,80,55,False,-55
26,26,0,26,False,26
27,27,0,27,False,27
28,28,0,28,False,28
29,29,0,29,False,29
30,31,0,31,False,31
31,31,0,31,False,31
32,31,0,31,False,31
33,33,0,33,False,33
34,34,0,34,False,34
35,35,0,35,False,35
36,35,0,35,False,35
37,37,0,37,False,37
38,37,0,37,False,37
39,37,0,37,False,37
40,43,0,43,False,43
41,43,0,43,False,43
42,43,0,43,False,43
43,43,0,43,False,43
44,44,0,44,False,44
45,45,0,45,False,45
46,46,0,46,False,46
47,47,0,47,False,47
48,48,0,48,False,48
49,48,0,48,False,48
50,48,0,48,False,48
51,53,0,53,False,53
52,53,0,53,False,53
53,53,0,53,False,53
54,54,0,54,False,54
55,54,0,54,False,54
56,57,0,57,False,57
57,57,0,57,False,57
58,58,0,58,False,58
59,58,0,58,False,58
60,58,0,58,False,58
61,64,0,64,False,64
62,64,0,64,False,64
63,64,0,64,False,64
64,64,0,64,False,64
65,64,0,64,False,64
66,64,0,64,False,64
67,68,0,68,False,68
68,68,0,68,False,68
69,69,0,69,False,69
70,70,0,70,False,70
71,71,0,71,False,71
72,71,0,71,False,71
73,73,0,73,False,73
74,75,0,75,False,75
75,75,80,5,False,-5
76,75,0,75,False,75
77,77,0,77,False,77
78,77,0,77,False,77
79,79,0,79,False,79
80,80,0,80,False,80
81,81,0,81,False,81
82,82,0,82,False,82
83,83,0,83,False,83
84,84,0,84,False,84
85,85,0,85,False,85
86,86,0,86,False,86
87,87,0,87,False,87
88,89,0,89,False,89
89,89,0,89,False,89
90,90,0,90,False,90
91,91,0,91,False,91
92,91,0,91,False,91
93,93,0,93,False,93
94,94,0,94,False,94
95,94,0,94,False,94
96,97,0,97,False,97
97,97,0,97,False,97
98,98,0,98,False,98
99,98,0,98,False,98
