age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,0,0,True,0
2,3,0,3,False,3
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,5,0,5,False,5
7,8,8,0,True,0
8,8,8,0,True,0
9,9,9,0,True,0
10,10,10,0,True,0
11,11,11,0,True,0
12,12,12,0,True,0
13,13,13,0,True,0
14,14,15,1,True,-1
15,15,15,0,True,0
16,17,17,0,True,0
17,17,17,0,True,0
18,17,19,2,True,-2
19,19,19,0,True,0
20,20,21,1,True,-1
21,21,21,0,True,0
22,21,21,0,True,0
23,24,21,3,False,3
24,24,31,7,False,-7
25,25,31,6,False,-6
26,26,31,5,False,-5
27,27,31,4,False,-4
28,28,31,3,False,-3
29,29,31,2,True,-2
30,31,31,0,True,0
31,31,31,0,True,0
32,31,31,0,True,0
33,33,31,2,True,2
34,34,31,3,False,3
35,35,31,4,False,4
36,35,31,4,False,4
37,37,33,4,False,4
38,37,43,6,False,-6
39,37,31,6,False,6
40,43,43,0,True,0
41,43,43,0,True,0
42,43,43,0,True,0
43,43,43,0,True,0
44,44,43,1,True,1
45,45,54,9,False,-9
46,46,0,46,False,46
47,47,0,47,False,47
48,48,53,5,False,-5
49,48,53,5,False,-5
50,48,53,5,False,-5
51,53,53,0,True,0
52,53,53,0,True,0
53,53,57,4,False,-4
54,54,54,0,True,0
55,54,57,3,False,-3
56,57,54,3,False,3
57,57,57,0,True,0
58,58,64,6,False,-6
59,58,69,11,False,-11
60,58,69,11,False,-11
61,64,0,64,False,64
62,64,80,16,False,-16
63,64,80,16,False,-16
64,64,80,16,False,-16
65,64,80,16,False,-16
66,64,80,16,False,-16
67,68,80,12,False,-12
68,68,80,12,False,-12
69,69,80,11,False,-11
70,70,80,10,False,-10
71,71,80,9,False,-9
72,71,70,1,True,1
73,73,70,3,False,3
74,75,80,5,False,-5
75,75,80,5,False,-5
76,75,80,5,False,-5
77,77,80,3,False,-3
78,77,80,3,False,-3
79,79,80,1,True,-1
80,80,80,0,True,0
81,81,80,1,True,1
82,82,80,2,True,2
83,83,80,3,False,3
84,84,80,4,False,4
85,85,80,5,False,5
86,86,80,6,False,6
87,87,90,3,False,-3
88,89,90,1,True,-1
89,89,90,1,True,-1
90,90,90,0,True,0
91,91,90,1,True,1
92,91,90,1,True,1
93,93,90,3,False,3
94,94,90,4,False,4
95,94,90,4,False,4
96,97,90,7,False,7
97,97,90,7,False,7
98,98,90,8,False,8
99,98,90,8,False,8
