age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,21,21,False,-21
2,3,3,0,True,0
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,5,5,0,True,0
7,8,5,3,False,3
8,8,8,0,True,0
9,9,4,5,False,5
10,10,10,0,True,0
11,11,11,0,True,0
12,12,12,0,True,0
13,13,13,0,True,0
14,14,4,10,False,10
15,15,5,10,False,10
16,17,4,13,False,13
17,17,20,3,False,-3
18,17,8,9,False,9
19,19,20,1,True,-1
20,20,20,0,True,0
21,21,21,0,True,0
22,21,20,1,True,1
23,24,20,4,False,4
24,24,20,4,False,4
25,25,20,5,False,5
26,26,20,6,False,6
27,27,20,7,False,7
28,28,31,3,False,-3
29,29,31,2,True,-2
30,31,31,0,True,0
31,31,31,0,True,0
32,31,31,0,True,0
33,33,31,2,True,2
34,34,34,0,True,0
35,35,31,4,False,4
36,35,35,0,True,0
37,37,35,2,True,2
38,37,44,7,False,-7
39,37,45,8,False,-8
40,43,45,2,True,-2
41,43,45,2,True,-2
42,43,44,1,True,-1
43,43,45,2,True,-2
44,44,45,1,True,-1
45,45,45,0,True,0
46,46,47,1,True,-1
47,47,57,10,False,-10
48,48,47,1,True,1
49,48,45,3,False,3
50,48,45,3,False,3
51,53,35,18,False,18
52,53,57,4,False,-4
53,53,5,48,False,48
54,54,31,23,False,23
55,54,45,9,False,9
56,57,46,11,False,11
57,57,70,13,False,-13
58,58,68,10,False,-10
59,58,68,10,False,-10
60,58,70,12,False,-12
61,64,45,19,False,19
62,64,82,18,False,-18
63,64,46,18,False,18
64,64,82,18,False,-18
65,64,75,11,False,-11
66,64,70,6,False,-6
67,68,46,22,False,22
68,68,46,22,False,22
69,69,46,23,False,23
70,70,70,0,True,0
71,71,79,8,False,-8
72,71,77,6,False,-6
73,73,47,26,False,26
74,75,47,28,False,28
75,75,70,5,False,5
76,75,46,29,False,29
77,77,77,0,True,0
78,77,8,69,False,69
79,79,70,9,False,9
80,80,80,0,True,0
81,81,80,1,True,1
82,82,8,74,False,74
83,83,8,75,False,75
84,84,80,4,False,4
85,85,80,5,False,5
86,86,80,6,False,6
87,87,11,76,False,76
88,89,80,9,False,9
89,89,80,9,False,9
90,90,90,0,True,0
91,91,90,1,True,1
92,91,90,1,True,1
93,93,79,14,False,14
94,94,94,0,True,0
95,94,90,4,False,4
96,97,91,6,False,6
97,97,90,7,False,7
98,98,90,8,False,8
99,98,90,8,False,8
