age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,0,0,True,0
2,3,0,3,False,3
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,5,86,81,False,-81
7,8,87,79,False,-79
8,8,8,0,True,0
9,9,9,0,True,0
10,10,10,0,True,0
11,11,11,0,True,0
12,12,12,0,True,0
13,13,13,0,True,0
14,14,14,0,True,0
15,15,15,0,True,0
16,17,15,2,True,2
17,17,17,0,True,0
18,17,19,2,True,-2
19,19,19,0,True,0
20,20,20,0,True,0
21,21,19,2,True,2
22,21,21,0,True,0
23,24,21,3,False,3
24,24,19,5,False,5
25,25,26,1,True,-1
26,26,33,7,False,-7
27,27,31,4,False,-4
28,28,31,3,False,-3
29,29,37,8,False,-8
30,31,31,0,True,0
31,31,31,0,True,0
32,31,43,12,False,-12
33,33,33,0,True,0
34,34,33,1,True,1
35,35,34,1,True,1
36,35,31,4,False,4
37,37,33,4,False,4
38,37,34,3,False,3
39,37,34,3,False,3
40,43,44,1,True,-1
41,43,44,1,True,-1
42,43,43,0,True,0
43,43,43,0,True,0
44,44,44,0,True,0
45,45,54,9,False,-9
46,46,0,46,False,46
47,47,75,28,False,-28
48,48,53,5,False,-5
49,48,57,9,False,-9
50,48,57,9,False,-9
51,53,57,4,False,-4
52,53,53,0,True,0
53,53,0,53,False,53
54,54,0,54,False,54
55,54,5,49,False,49
56,57,58,1,True,-1
57,57,57,0,True,0
58,58,69,11,False,-11
59,58,69,11,False,-11
60,58,69,11,False,-11
61,64,89,25,False,-25
62,64,91,27,False,-27
63,64,91,27,False,-27
64,64,81,17,False,-17
65,64,87,23,False,-23
66,64,89,25,False,-25
67,68,89,21,False,-21
68,68,89,21,False,-21
69,69,89,20,False,-20
70,70,89,19,False,-19
71,71,81,10,False,-10
72,71,79,8,False,-8
73,73,83,10,False,-10
74,75,81,6,False,-6
75,75,85,10,False,-10
76,75,80,5,False,-5
77,77,87,10,False,-10
78,77,80,3,False,-3
79,79,87,8,False,-8
80,80,80,0,True,0
81,81,80,1,True,1
82,82,80,2,True,2
83,83,80,3,False,3
84,84,80,4,False,4
85,85,98,13,False,-13
86,86,98,12,False,-12
87,87,91,4,False,-4
88,89,90,1,True,-1
89,89,90,1,True,-1
90,90,90,0,True,0
91,91,90,1,True,1
92,91,90,1,True,1
93,93,90,3,False,3
94,94,90,4,False,4
95,94,90,4,False,4
96,97,90,7,False,7
97,97,93,4,False,4
98,98,90,8,False,8
99,98,90,8,False,8
