age,true,pred,error,within_+-2,full_error
0,0,0,0,True,0
1,0,91,91,False,-91
2,3,0,3,False,3
3,3,3,0,True,0
4,4,4,0,True,0
5,5,5,0,True,0
6,5,5,0,True,0
7,8,97,89,False,-89
8,8,8,0,True,0
9,9,9,0,True,0
10,10,10,0,True,0
11,11,11,0,True,0
12,12,12,0,True,0
13,13,13,0,True,0
14,14,14,0,True,0
15,15,15,0,True,0
16,17,17,0,True,0
17,17,17,0,True,0
18,17,19,2,True,-2
19,19,19,0,True,0
20,20,20,0,True,0
21,21,13,8,False,8
22,21,24,3,False,-3
23,24,29,5,False,-5
24,24,64,40,False,-40
25,25,20,5,False,5
26,26,33,7,False,-7
27,27,33,6,False,-6
28,28,33,5,False,-5
29,29,37,8,False,-8
30,31,33,2,True,-2
31,31,33,2,True,-2
32,31,43,12,False,-12
33,33,13,20,False,20
34,34,33,1,True,1
35,35,34,1,True,1
36,35,34,1,True,1
37,37,33,4,False,4
38,37,64,27,False,-27
39,37,34,3,False,3
40,43,45,2,True,-2
41,43,46,3,False,-3
42,43,17,26,False,26
43,43,43,0,True,0
44,44,44,0,True,0
45,45,53,8,False,-8
46,46,11,35,False,35
47,47,11,36,False,36
48,48,12,36,False,36
49,48,53,5,False,-5
50,48,53,5,False,-5
51,53,3,50,False,50
52,53,13,40,False,40
53,53,13,40,False,40
54,54,24,30,False,30
55,54,45,9,False,9
56,57,48,9,False,9
57,57,69,12,False,-12
58,58,69,11,False,-11
59,58,69,11,False,-11
60,58,69,11,False,-11
61,64,69,5,False,-5
62,64,69,5,False,-5
63,64,14,50,False,50
64,64,43,21,False,21
65,64,20,44,False,44
66,64,64,0,True,0
67,68,80,12,False,-12
68,68,17,51,False,51
69,69,69,0,True,0
70,70,70,0,True,0
71,71,79,8,False,-8
72,71,73,2,True,-2
73,73,73,0,True,0
74,75,64,11,False,11
75,75,75,0,True,0
76,75,70,5,False,5
77,77,77,0,True,0
78,77,87,10,False,-10
79,79,97,18,False,-18
80,80,80,0,True,0
81,81,13,68,False,68
82,82,83,1,True,-1
83,83,83,0,True,0
84,84,48,36,False,36
85,85,85,0,True,0
86,86,98,12,False,-12
87,87,98,11,False,-11
88,89,90,1,True,-1
89,89,90,1,True,-1
90,90,90,0,True,0
91,91,90,1,True,1
92,91,93,2,True,-2
93,93,93,0,True,0
94,94,69,25,False,25
95,94,90,4,False,4
96,97,43,54,False,54
97,97,3,94,False,94
98,98,79,19,False,19
99,98,75,23,False,23
