age,true,pred,error,within_+-2,full_error
0,0,53,53,False,-53
1,0,53,53,False,-53
2,3,53,50,False,-50
3,3,80,77,False,-77
4,4,80,76,False,-76
5,5,80,75,False,-75
6,5,15,10,False,-10
7,8,15,7,False,-7
8,8,80,72,False,-72
9,9,53,44,False,-44
10,10,80,70,False,-70
11,11,10,1,True,1
12,12,53,41,False,-41
13,13,10,3,False,3
14,14,80,66,False,-66
15,15,80,65,False,-65
16,17,80,63,False,-63
17,17,80,63,False,-63
18,17,53,36,False,-36
19,19,80,61,False,-61
20,20,53,33,False,-33
21,21,53,32,False,-32
22,21,53,32,False,-32
23,24,53,29,False,-29
24,24,80,56,False,-56
25,25,80,55,False,-55
26,26,53,27,False,-27
27,27,80,53,False,-53
28,28,80,52,False,-52
29,29,80,51,False,-51
30,31,80,49,False,-49
31,31,33,2,True,-2
32,31,83,52,False,-52
33,33,33,0,True,0
34,34,80,46,False,-46
35,35,80,45,False,-45
36,35,80,45,False,-45
37,37,80,43,False,-43
38,37,53,16,False,-16
39,37,80,43,False,-43
40,43,80,37,False,-37
41,43,80,37,False,-37
42,43,53,10,False,-10
43,43,80,37,False,-37
44,44,53,9,False,-9
45,45,80,35,False,-35
46,46,83,37,False,-37
47,47,80,33,False,-33
48,48,80,32,False,-32
49,48,80,32,False,-32
50,48,53,5,False,-5
51,53,53,0,True,0
52,53,80,27,False,-27
53,53,80,27,False,-27
54,54,80,26,False,-26
55,54,80,26,False,-26
56,57,80,23,False,-23
57,57,80,23,False,-23
58,58,80,22,False,-22
59,58,80,22,False,-22
60,58,53,5,False,5
61,64,80,16,False,-16
62,64,80,16,False,-16
63,64,80,16,False,-16
64,64,80,16,False,-16
65,64,80,16,False,-16
66,64,80,16,False,-16
67,68,80,12,False,-12
68,68,80,12,False,-12
69,69,80,11,False,-11
70,70,80,10,False,-10
71,71,15,56,False,56
72,71,80,9,False,-9
73,73,80,7,False,-7
74,75,80,5,False,-5
75,75,80,5,False,-5
76,75,80,5,False,-5
77,77,80,3,False,-3
78,77,80,3,False,-3
79,79,80,1,True,-1
80,80,80,0,True,0
81,81,80,1,True,1
82,82,80,2,True,2
83,83,80,3,False,3
84,84,80,4,False,4
85,85,53,32,False,32
86,86,80,6,False,6
87,87,80,7,False,7
88,89,80,9,False,9
89,89,80,9,False,9
90,90,80,10,False,10
91,91,80,11,False,11
92,91,80,11,False,11
93,93,80,13,False,13
94,94,80,14,False,14
95,94,80,14,False,14
96,97,81,16,False,16
97,97,80,17,False,17
98,98,80,18,False,18
99,98,80,18,False,18
