age,true,pred,error,within_+-2,full_error
0,0.0,10,10.0,False,-10.0
1,0.0,14,14.0,False,-14.0
2,3.0,21,18.0,False,-18.0
3,3.0,33,30.0,False,-30.0
4,4.0,43,39.0,False,-39.0
5,5.0,53,48.0,False,-48.0
6,5.0,64,59.0,False,-59.0
7,8.0,73,65.0,False,-65.0
8,8.0,73,65.0,False,-65.0
9,9.0,91,82.0,False,-82.0
10,10.0,21,11.0,False,-11.0
11,11.0,14,3.0,False,-3.0
12,12.0,14,2.0,True,-2.0
13,13.0,21,8.0,False,-8.0
14,14.0,21,7.0,False,-7.0
15,15.0,21,6.0,False,-6.0
16,17.0,21,4.0,False,-4.0
17,17.0,31,14.0,False,-14.0
18,17.0,21,4.0,False,-4.0
19,19.0,21,2.0,True,-2.0
20,20.0,29,9.0,False,-9.0
21,21.0,21,0.0,True,0.0
22,21.0,29,8.0,False,-8.0
23,24.0,25,1.0,True,-1.0
24,24.0,24,0.0,True,0.0
25,25.0,25,0.0,True,0.0
26,26.0,29,3.0,False,-3.0
27,27.0,29,2.0,True,-2.0
28,28.0,28,0.0,True,0.0
29,29.0,29,0.0,True,0.0
30,31.0,33,2.0,True,-2.0
31,31.0,31,0.0,True,0.0
32,31.0,33,2.0,True,-2.0
33,33.0,33,0.0,True,0.0
34,34.0,34,0.0,True,0.0
35,35.0,35,0.0,True,0.0
36,35.0,37,2.0,True,-2.0
37,37.0,37,0.0,True,0.0
38,37.0,37,0.0,True,0.0
39,37.0,37,0.0,True,0.0
40,43.0,47,4.0,False,-4.0
41,43.0,47,4.0,False,-4.0
42,43.0,43,0.0,True,0.0
43,43.0,43,0.0,True,0.0
44,44.0,43,1.0,True,1.0
45,45.0,45,0.0,True,0.0
46,46.0,47,1.0,True,-1.0
47,47.0,47,0.0,True,0.0
48,48.0,48,0.0,True,0.0
49,48.0,48,0.0,True,0.0
50,48.0,57,9.0,False,-9.0
51,53.0,53,0.0,True,0.0
52,53.0,53,0.0,True,0.0
53,53.0,53,0.0,True,0.0
54,54.0,54,0.0,True,0.0
55,54.0,57,3.0,False,-3.0
56,57.0,57,0.0,True,0.0
57,57.0,57,0.0,True,0.0
58,58.0,58,0.0,True,0.0
59,58.0,58,0.0,True,0.0
60,58.0,64,6.0,False,-6.0
61,64.0,64,0.0,True,0.0
62,64.0,64,0.0,True,0.0
63,64.0,64,0.0,True,0.0
64,64.0,64,0.0,True,0.0
65,64.0,64,0.0,True,0.0
66,64.0,64,0.0,True,0.0
67,68.0,69,1.0,True,-1.0
68,68.0,68,0.0,True,0.0
69,69.0,69,0.0,True,0.0
70,70.0,70,0.0,True,0.0
71,71.0,71,0.0,True,0.0
72,71.0,73,2.0,True,-2.0
73,73.0,73,0.0,True,0.0
74,75.0,73,2.0,True,2.0
75,75.0,75,0.0,True,0.0
76,75.0,73,2.0,True,2.0
77,77.0,73,4.0,False,4.0
78,77.0,79,2.0,True,-2.0
79,79.0,79,0.0,True,0.0
80,80.0,80,0.0,True,0.0
81,81.0,71,10.0,False,10.0
82,82.0,73,9.0,False,9.0
83,83.0,73,10.0,False,10.0
84,84.0,75,9.0,False,9.0
85,85.0,75,10.0,False,10.0
86,86.0,79,7.0,False,7.0
87,87.0,79,8.0,False,8.0
88,89.0,80,9.0,False,9.0
89,89.0,84,5.0,False,5.0
90,90.0,90,0.0,True,0.0
91,91.0,71,20.0,False,20.0
92,91.0,73,18.0,False,18.0
93,93.0,79,14.0,False,14.0
94,94.0,79,15.0,False,15.0
95,94.0,79,15.0,False,15.0
96,97.0,79,18.0,False,18.0
97,97.0,79,18.0,False,18.0
98,98.0,85,13.0,False,13.0
99,98.0,90,8.0,False,8.0
