age,true,pred,error,within_+-2,full_error
0,0.0,10,10.0,False,-10.0
1,0.0,11,11.0,False,-11.0
2,3.0,12,9.0,False,-9.0
3,3.0,13,10.0,False,-10.0
4,4.0,34,30.0,False,-30.0
5,5.0,45,40.0,False,-40.0
6,5.0,70,65.0,False,-65.0
7,8.0,70,62.0,False,-62.0
8,8.0,80,72.0,False,-72.0
9,9.0,90,81.0,False,-81.0
10,10.0,11,1.0,True,-1.0
11,11.0,11,0.0,True,0.0
12,12.0,12,0.0,True,0.0
13,13.0,12,1.0,True,1.0
14,14.0,12,2.0,True,2.0
15,15.0,12,3.0,False,3.0
16,17.0,12,5.0,False,5.0
17,17.0,12,5.0,False,5.0
18,17.0,12,5.0,False,5.0
19,19.0,12,7.0,False,7.0
20,20.0,20,0.0,True,0.0
21,21.0,12,9.0,False,9.0
22,21.0,12,9.0,False,9.0
23,24.0,12,12.0,False,12.0
24,24.0,24,0.0,True,0.0
25,25.0,24,1.0,True,1.0
26,26.0,24,2.0,True,2.0
27,27.0,12,15.0,False,15.0
28,28.0,12,16.0,False,16.0
29,29.0,12,17.0,False,17.0
30,31.0,20,11.0,False,11.0
31,31.0,12,19.0,False,19.0
32,31.0,12,19.0,False,19.0
33,33.0,33,0.0,True,0.0
34,34.0,34,0.0,True,0.0
35,35.0,34,1.0,True,1.0
36,35.0,34,1.0,True,1.0
37,37.0,33,4.0,False,4.0
38,37.0,13,24.0,False,24.0
39,37.0,13,24.0,False,24.0
40,43.0,20,23.0,False,23.0
41,43.0,21,22.0,False,22.0
42,43.0,12,31.0,False,31.0
43,43.0,34,9.0,False,9.0
44,44.0,34,10.0,False,10.0
45,45.0,34,11.0,False,11.0
46,46.0,44,2.0,True,2.0
47,47.0,34,13.0,False,13.0
48,48.0,24,24.0,False,24.0
49,48.0,34,14.0,False,14.0
50,48.0,70,22.0,False,-22.0
51,53.0,12,41.0,False,41.0
52,53.0,12,41.0,False,41.0
53,53.0,34,19.0,False,19.0
54,54.0,34,20.0,False,20.0
55,54.0,45,9.0,False,9.0
56,57.0,45,12.0,False,12.0
57,57.0,45,12.0,False,12.0
58,58.0,45,13.0,False,13.0
59,58.0,45,13.0,False,13.0
60,58.0,70,12.0,False,-12.0
61,64.0,12,52.0,False,52.0
62,64.0,12,52.0,False,52.0
63,64.0,34,30.0,False,30.0
64,64.0,34,30.0,False,30.0
65,64.0,45,19.0,False,19.0
66,64.0,64,0.0,True,0.0
67,68.0,47,21.0,False,21.0
68,68.0,68,0.0,True,0.0
69,69.0,79,10.0,False,-10.0
70,70.0,70,0.0,True,0.0
71,71.0,11,60.0,False,60.0
72,71.0,12,59.0,False,59.0
73,73.0,13,60.0,False,60.0
74,75.0,34,41.0,False,41.0
75,75.0,45,30.0,False,30.0
76,75.0,77,2.0,True,-2.0
77,77.0,77,0.0,True,0.0
78,77.0,87,10.0,False,-10.0
79,79.0,79,0.0,True,0.0
80,80.0,80,0.0,True,0.0
81,81.0,12,69.0,False,69.0
82,82.0,12,70.0,False,70.0
83,83.0,13,70.0,False,70.0
84,84.0,34,50.0,False,50.0
85,85.0,45,40.0,False,40.0
86,86.0,79,7.0,False,7.0
87,87.0,87,0.0,True,0.0
88,89.0,89,0.0,True,0.0
89,89.0,89,0.0,True,0.0
90,90.0,80,10.0,False,10.0
91,91.0,11,80.0,False,80.0
92,91.0,12,79.0,False,79.0
93,93.0,13,80.0,False,80.0
94,94.0,34,60.0,False,60.0
95,94.0,45,49.0,False,49.0
96,97.0,79,18.0,False,18.0
97,97.0,79,18.0,False,18.0
98,98.0,89,9.0,False,9.0
99,98.0,89,9.0,False,9.0
