age,true,pred,error,within_+-2,full_error
0,0.0,0,0.0,True,0.0
1,0.0,11,11.0,False,-11.0
2,3.0,21,18.0,False,-18.0
3,3.0,31,28.0,False,-28.0
4,4.0,44,40.0,False,-40.0
5,5.0,5,0.0,True,0.0
6,5.0,26,21.0,False,-21.0
7,8.0,70,62.0,False,-62.0
8,8.0,81,73.0,False,-73.0
9,9.0,90,81.0,False,-81.0
10,10.0,10,0.0,True,0.0
11,11.0,11,0.0,True,0.0
12,12.0,11,1.0,True,1.0
13,13.0,13,0.0,True,0.0
14,14.0,14,0.0,True,0.0
15,15.0,15,0.0,True,0.0
16,17.0,10,7.0,False,7.0
17,17.0,71,54.0,False,-54.0
18,17.0,81,64.0,False,-64.0
19,19.0,91,72.0,False,-72.0
20,20.0,20,0.0,True,0.0
21,21.0,21,0.0,True,0.0
22,21.0,20,1.0,True,1.0
23,24.0,31,7.0,False,-7.0
24,24.0,24,0.0,True,0.0
25,25.0,25,0.0,True,0.0
26,26.0,26,0.0,True,0.0
27,27.0,71,44.0,False,-44.0
28,28.0,81,53.0,False,-53.0
29,29.0,29,0.0,True,0.0
30,31.0,31,0.0,True,0.0
31,31.0,31,0.0,True,0.0
32,31.0,31,0.0,True,0.0
33,33.0,31,2.0,True,2.0
34,34.0,43,9.0,False,-9.0
35,35.0,35,0.0,True,0.0
36,35.0,73,38.0,False,-38.0
37,37.0,73,36.0,False,-36.0
38,37.0,83,46.0,False,-46.0
39,37.0,93,56.0,False,-56.0
40,43.0,14,29.0,False,29.0
41,43.0,14,29.0,False,29.0
42,43.0,24,19.0,False,19.0
43,43.0,43,0.0,True,0.0
44,44.0,44,0.0,True,0.0
45,45.0,45,0.0,True,0.0
46,46.0,46,0.0,True,0.0
47,47.0,47,0.0,True,0.0
48,48.0,48,0.0,True,0.0
49,48.0,90,42.0,False,-42.0
50,48.0,15,33.0,False,33.0
51,53.0,15,38.0,False,38.0
52,53.0,25,28.0,False,28.0
53,53.0,53,0.0,True,0.0
54,54.0,45,9.0,False,9.0
55,54.0,5,49.0,False,49.0
56,57.0,57,0.0,True,0.0
57,57.0,75,18.0,False,-18.0
58,58.0,58,0.0,True,0.0
59,58.0,90,32.0,False,-32.0
60,58.0,70,12.0,False,-12.0
61,64.0,71,7.0,False,-7.0
62,64.0,26,38.0,False,38.0
63,64.0,73,9.0,False,-9.0
64,64.0,64,0.0,True,0.0
65,64.0,57,7.0,False,7.0
66,64.0,26,38.0,False,38.0
67,68.0,70,2.0,True,-2.0
68,68.0,68,0.0,True,0.0
69,69.0,69,0.0,True,0.0
70,70.0,70,0.0,True,0.0
71,71.0,71,0.0,True,0.0
72,71.0,71,0.0,True,0.0
73,73.0,73,0.0,True,0.0
74,75.0,70,5.0,False,5.0
75,75.0,75,0.0,True,0.0
76,75.0,70,5.0,False,5.0
77,77.0,70,7.0,False,7.0
78,77.0,87,10.0,False,-10.0
79,79.0,79,0.0,True,0.0
80,80.0,80,0.0,True,0.0
81,81.0,81,0.0,True,0.0
82,82.0,81,1.0,True,1.0
83,83.0,81,2.0,True,2.0
84,84.0,80,4.0,False,4.0
85,85.0,80,5.0,False,5.0
86,86.0,68,18.0,False,18.0
87,87.0,87,0.0,True,0.0
88,89.0,81,8.0,False,8.0
89,89.0,89,0.0,True,0.0
90,90.0,90,0.0,True,0.0
91,91.0,91,0.0,True,0.0
92,91.0,91,0.0,True,0.0
93,93.0,91,2.0,True,2.0
94,94.0,90,4.0,False,4.0
95,94.0,90,4.0,False,4.0
96,97.0,90,7.0,False,7.0
97,97.0,79,18.0,False,18.0
98,98.0,98,0.0,True,0.0
99,98.0,9,89.0,False,89.0
