age,true,pred,error,within_+-2,full_error
0,0.0,11,11.0,False,-11.0
1,0.0,11,11.0,False,-11.0
2,3.0,11,8.0,False,-8.0
3,3.0,33,30.0,False,-30.0
4,4.0,43,39.0,False,-39.0
5,5.0,43,38.0,False,-38.0
6,5.0,70,65.0,False,-65.0
7,8.0,11,3.0,False,-3.0
8,8.0,80,72.0,False,-72.0
9,9.0,11,2.0,True,-2.0
10,10.0,11,1.0,True,-1.0
11,11.0,11,0.0,True,0.0
12,12.0,11,1.0,True,1.0
13,13.0,11,2.0,True,2.0
14,14.0,11,3.0,False,3.0
15,15.0,11,4.0,False,4.0
16,17.0,11,6.0,False,6.0
17,17.0,11,6.0,False,6.0
18,17.0,11,6.0,False,6.0
19,19.0,11,8.0,False,8.0
20,20.0,11,9.0,False,9.0
21,21.0,11,10.0,False,10.0
22,21.0,12,9.0,False,9.0
23,24.0,31,7.0,False,-7.0
24,24.0,31,7.0,False,-7.0
25,25.0,31,6.0,False,-6.0
26,26.0,21,5.0,False,5.0
27,27.0,21,6.0,False,6.0
28,28.0,21,7.0,False,7.0
29,29.0,21,8.0,False,8.0
30,31.0,31,0.0,True,0.0
31,31.0,11,20.0,False,20.0
32,31.0,31,0.0,True,0.0
33,33.0,33,0.0,True,0.0
34,34.0,33,1.0,True,1.0
35,35.0,31,4.0,False,4.0
36,35.0,33,2.0,True,2.0
37,37.0,33,4.0,False,4.0
38,37.0,31,6.0,False,6.0
39,37.0,31,6.0,False,6.0
40,43.0,31,12.0,False,12.0
41,43.0,11,32.0,False,32.0
42,43.0,31,12.0,False,12.0
43,43.0,33,10.0,False,10.0
44,44.0,43,1.0,True,1.0
45,45.0,43,2.0,True,2.0
46,46.0,43,3.0,False,3.0
47,47.0,43,4.0,False,4.0
48,48.0,43,5.0,False,5.0
49,48.0,43,5.0,False,5.0
50,48.0,31,17.0,False,17.0
51,53.0,11,42.0,False,42.0
52,53.0,31,22.0,False,22.0
53,53.0,31,22.0,False,22.0
54,54.0,43,11.0,False,11.0
55,54.0,53,1.0,True,1.0
56,57.0,53,4.0,False,4.0
57,57.0,73,16.0,False,-16.0
58,58.0,31,27.0,False,27.0
59,58.0,31,27.0,False,27.0
60,58.0,80,22.0,False,-22.0
61,64.0,11,53.0,False,53.0
62,64.0,31,33.0,False,33.0
63,64.0,43,21.0,False,21.0
64,64.0,43,21.0,False,21.0
65,64.0,73,9.0,False,-9.0
66,64.0,73,9.0,False,-9.0
67,68.0,73,5.0,False,-5.0
68,68.0,73,5.0,False,-5.0
69,69.0,71,2.0,True,-2.0
70,70.0,11,59.0,False,59.0
71,71.0,11,60.0,False,60.0
72,71.0,12,59.0,False,59.0
73,73.0,31,42.0,False,42.0
74,75.0,43,32.0,False,32.0
75,75.0,73,2.0,True,2.0
76,75.0,73,2.0,True,2.0
77,77.0,73,4.0,False,4.0
78,77.0,73,4.0,False,4.0
79,79.0,71,8.0,False,8.0
80,80.0,80,0.0,True,0.0
81,81.0,11,70.0,False,70.0
82,82.0,12,70.0,False,70.0
83,83.0,33,50.0,False,50.0
84,84.0,83,1.0,True,1.0
85,85.0,83,2.0,True,2.0
86,86.0,83,3.0,False,3.0
87,87.0,83,4.0,False,4.0
88,89.0,83,6.0,False,6.0
89,89.0,81,8.0,False,8.0
90,90.0,11,79.0,False,79.0
91,91.0,11,80.0,False,80.0
92,91.0,12,79.0,False,79.0
93,93.0,31,62.0,False,62.0
94,94.0,43,51.0,False,51.0
95,94.0,91,3.0,False,3.0
96,97.0,91,6.0,False,6.0
97,97.0,71,26.0,False,26.0
98,98.0,81,17.0,False,17.0
99,98.0,91,7.0,False,7.0
